task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,pixel_permuted_template,7000,centered_logit_fidelity,random,-0.012917118491539977,4
single_shape,plain2_w16_gap,pixel_permuted_template,7000,prob_error_reduction,random,0.09169380972161889,4
single_shape,plain2_w16_gap,pixel_permuted_template,7001,centered_logit_fidelity,random,0.000697416006728296,4
single_shape,plain2_w16_gap,pixel_permuted_template,7001,prob_error_reduction,random,0.10787969315424562,4
single_shape,plain2_w16_gap,pixel_permuted_template,7002,centered_logit_fidelity,random,0.00923541927102533,4
single_shape,plain2_w16_gap,pixel_permuted_template,7002,prob_error_reduction,random,0.10475046373903751,4
single_shape,plain2_w16_gap,pixel_permuted_template,7003,centered_logit_fidelity,random,0.006986817925609113,4
single_shape,plain2_w16_gap,pixel_permuted_template,7003,prob_error_reduction,random,0.10642120474949479,4
single_shape,plain2_w16_gap,pixel_permuted_template,7004,centered_logit_fidelity,random,-0.013002057936732087,4
single_shape,plain2_w16_gap,pixel_permuted_template,7004,prob_error_reduction,random,0.08220451138913631,4
single_shape,plain2_w16_gap,pixel_permuted_template,7005,centered_logit_fidelity,random,-0.027996764796364534,4
single_shape,plain2_w16_gap,pixel_permuted_template,7005,prob_error_reduction,random,0.09356564423069358,4
single_shape,plain2_w16_gap,pixel_permuted_template,7006,centered_logit_fidelity,random,0.00595286739458299,4
single_shape,plain2_w16_gap,pixel_permuted_template,7006,prob_error_reduction,random,0.11299077793955803,4
single_shape,plain2_w16_gap,pixel_permuted_template,7007,centered_logit_fidelity,random,0.0013086710050141948,4
single_shape,plain2_w16_gap,pixel_permuted_template,7007,prob_error_reduction,random,0.10621207719668746,4
single_shape,plain2_w16_gap,pixel_permuted_template,7008,centered_logit_fidelity,random,0.0105123615462952,4
single_shape,plain2_w16_gap,pixel_permuted_template,7008,prob_error_reduction,random,0.07516184262931347,4
single_shape,plain2_w16_gap,pixel_permuted_template,7009,centered_logit_fidelity,random,0.005640318571526219,4
