task,metric,contrast,block,architecture,difference
single_shape,centered_logit_fidelity,structured - pixel_permuted,7000,plain2_w16_gap,-0.13556851104884776
single_shape,centered_logit_fidelity,structured - pixel_permuted,7000,plain2_w16_gmp,0.09142532335933651
single_shape,centered_logit_fidelity,structured - pixel_permuted,7000,tiny_gap,0.05496837910064234
single_shape,centered_logit_fidelity,structured - pixel_permuted,7000,tiny_gmp,0.06254705160300124
single_shape,centered_logit_fidelity,structured - pixel_permuted,7001,plain2_w16_gap,0.04768767100596957
single_shape,centered_logit_fidelity,structured - pixel_permuted,7001,plain2_w16_gmp,0.04568477760701771
single_shape,centered_logit_fidelity,structured - pixel_permuted,7001,tiny_gap,-0.006189890075975507
single_shape,centered_logit_fidelity,structured - pixel_permuted,7001,tiny_gmp,0.06528864210837365
single_shape,centered_logit_fidelity,structured - pixel_permuted,7002,plain2_w16_gap,0.35004577566746803
single_shape,centered_logit_fidelity,structured - pixel_permuted,7002,plain2_w16_gmp,0.01964762971870139
single_shape,centered_logit_fidelity,structured - pixel_permuted,7002,tiny_gap,0.0014018577134942423
single_shape,centered_logit_fidelity,structured - pixel_permuted,7002,tiny_gmp,0.04492696651320889
single_shape,centered_logit_fidelity,structured - pixel_permuted,7003,plain2_w16_gap,0.07071386427814445
single_shape,centered_logit_fidelity,structured - pixel_permuted,7003,plain2_w16_gmp,0.005539249667691287
single_shape,centered_logit_fidelity,structured - pixel_permuted,7003,tiny_gap,0.005665962664089683
single_shape,centered_logit_fidelity,structured - pixel_permuted,7003,tiny_gmp,0.03939407571288617
single_shape,centered_logit_fidelity,structured - pixel_permuted,7004,plain2_w16_gap,-0.13743420414897892
single_shape,centered_logit_fidelity,structured - pixel_permuted,7004,plain2_w16_gmp,0.05991706135252747
single_shape,centered_logit_fidelity,structured - pixel_permuted,7004,tiny_gap,-0.04447768271919762
single_shape,centered_logit_fidelity,structured - pixel_permuted,7004,tiny_gmp,0.07866371427979915
single_shape,centered_logit_fidelity,structured - pixel_permuted,7005,plain2_w16_gap,0.03260148152949982
single_shape,centered_logit_fidelity,structured - pixel_permuted,7005,plain2_w16_gmp,0.03843843055889225
single_shape,centered_logit_fidelity,structured - pixel_permuted,7005,tiny_gap,0.06503181099407272
single_shape,centered_logit_fidelity,structured - pixel_permuted,7005,tiny_gmp,0.028148842861209597
single_shape,centered_logit_fidelity,structured - pixel_permuted,7006,plain2_w16_gap,0.09607383722221996
single_shape,centered_logit_fidelity,structured - pixel_permuted,7006,plain2_w16_gmp,0.05767134820534958
single_shape,centered_logit_fidelity,structured - pixel_permuted,7006,tiny_gap,0.03499464587520579
single_shape,centered_logit_fidelity,structured - pixel_permuted,7006,tiny_gmp,0.016466496006708076
single_shape,centered_logit_fidelity,structured - pixel_permuted,7007,plain2_w16_gap,-0.024399580451997346
single_shape,centered_logit_fidelity,structured - pixel_permuted,7007,plain2_w16_gmp,0.08013228114561864
single_shape,centered_logit_fidelity,structured - pixel_permuted,7007,tiny_gap,0.035398589355683505
single_shape,centered_logit_fidelity,structured - pixel_permuted,7007,tiny_gmp,0.11393691797280033
single_shape,centered_logit_fidelity,structured - pixel_permuted,7008,plain2_w16_gap,0.01884990679640207
single_shape,centered_logit_fidelity,structured - pixel_permuted,7008,plain2_w16_gmp,0.04738661709664309
single_shape,centered_logit_fidelity,structured - pixel_permuted,7008,tiny_gap,0.03376345696579092
single_shape,centered_logit_fidelity,structured - pixel_permuted,7008,tiny_gmp,0.02110136174349536
single_shape,centered_logit_fidelity,structured - pixel_permuted,7009,plain2_w16_gap,0.1577595343679245
single_shape,centered_logit_fidelity,structured - pixel_permuted,7009,plain2_w16_gmp,0.09258803623613422
single_shape,centered_logit_fidelity,structured - pixel_permuted,7009,tiny_gap,0.042263989878309816
single_shape,centered_logit_fidelity,structured - pixel_permuted,7009,tiny_gmp,0.017601673461545772
single_shape,centered_logit_fidelity,structured - pixel_permuted,7010,plain2_w16_gap,0.2598975432870433
single_shape,centered_logit_fidelity,structured - pixel_permuted,7010,plain2_w16_gmp,0.06553394339957422
single_shape,centered_logit_fidelity,structured - pixel_permuted,7010,tiny_gap,0.02484980003581
single_shape,centered_logit_fidelity,structured - pixel_permuted,7010,tiny_gmp,0.07424152323542366
single_shape,centered_logit_fidelity,structured - pixel_permuted,7011,plain2_w16_gap,0.01064892310697188
single_shape,centered_logit_fidelity,structured - pixel_permuted,7011,plain2_w16_gmp,0.016631669716570777
single_shape,centered_logit_fidelity,structured - pixel_permuted,7011,tiny_gap,-0.009898352034885455
single_shape,centered_logit_fidelity,structured - pixel_permuted,7011,tiny_gmp,0.01488611898896508
single_shape,centered_logit_fidelity,structured - pixel_permuted,7012,plain2_w16_gap,0.10772701713832357
single_shape,centered_logit_fidelity,structured - pixel_permuted,7012,plain2_w16_gmp,0.01687842100489463
single_shape,centered_logit_fidelity,structured - pixel_permuted,7012,tiny_gap,0.06510950704508608
single_shape,centered_logit_fidelity,structured - pixel_permuted,7012,tiny_gmp,-0.0013258805482744551
single_shape,centered_logit_fidelity,structured - pixel_permuted,7013,plain2_w16_gap,0.05717145763292619
single_shape,centered_logit_fidelity,structured - pixel_permuted,7013,plain2_w16_gmp,-0.0052891003870342845
single_shape,centered_logit_fidelity,structured - pixel_permuted,7013,tiny_gap,0.016136956990802906
single_shape,centered_logit_fidelity,structured - pixel_permuted,7013,tiny_gmp,0.11840440194720472
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,plain2_w16_gap,0.026514021507554386
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,plain2_w16_gmp,0.031112399770908836
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,tiny_gap,0.036293804015203754
single_shape,centered_logit_fidelity,structured - pixel_permuted,7014,tiny_gmp,0.05483947267275267
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,plain2_w16_gap,0.11900580179991416
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,plain2_w16_gmp,0.030110081762465934
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,tiny_gap,0.007408292497599528
single_shape,centered_logit_fidelity,structured - pixel_permuted,7015,tiny_gmp,0.04090952011961066
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,plain2_w16_gap,-0.04117327057002125
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,plain2_w16_gmp,0.043500038981242675
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,tiny_gap,0.018144786384827263
single_shape,centered_logit_fidelity,structured - pixel_permuted,7016,tiny_gmp,0.022511868776754485
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,plain2_w16_gap,-0.15686843903998376
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,plain2_w16_gmp,-0.03457859071115803
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,tiny_gap,0.04967231240718736
single_shape,centered_logit_fidelity,structured - pixel_permuted,7017,tiny_gmp,0.11357211972192936
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,plain2_w16_gap,0.21108051210882367
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,plain2_w16_gmp,-8.161166754422355e-05
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,tiny_gap,0.0007211859117265962
single_shape,centered_logit_fidelity,structured - pixel_permuted,7018,tiny_gmp,0.037200473853644056
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,plain2_w16_gap,0.09318422950819828
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,plain2_w16_gmp,0.030909651204709815
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,tiny_gap,-0.007947468899248439
single_shape,centered_logit_fidelity,structured - pixel_permuted,7019,tiny_gmp,0.04265966131300318
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,plain2_w16_gap,0.11238958847674352
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,plain2_w16_gmp,-0.019163772846849697
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,tiny_gap,0.0290433733906921
single_shape,centered_logit_fidelity,structured - pixel_permuted,7020,tiny_gmp,0.08126441388908534
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,plain2_w16_gap,-0.11489081164762878
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,plain2_w16_gmp,0.03612139833141738
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,tiny_gap,0.018954667393469585
single_shape,centered_logit_fidelity,structured - pixel_permuted,7021,tiny_gmp,0.09536061664519314
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,plain2_w16_gap,0.05722215807702832
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,plain2_w16_gmp,0.07778801637991224
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,tiny_gap,0.014357957555395914
single_shape,centered_logit_fidelity,structured - pixel_permuted,7022,tiny_gmp,0.04763604433170465
single_shape,centered_logit_fidelity,structured - pixel_permuted,7023,plain2_w16_gap,-0.17581939355674286
single_shape,centered_logit_fidelity,structured - pixel_permuted,7023,plain2_w16_gmp,0.014634897152043469
