task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,pixel_permuted_template,7000,centered_logit_fidelity,selected,0.08415008072250875,4
single_shape,plain2_w16_gap,pixel_permuted_template,7000,prob_error_reduction,selected,0.27711691707372665,4
single_shape,plain2_w16_gap,pixel_permuted_template,7001,centered_logit_fidelity,selected,0.055431917266135125,4
single_shape,plain2_w16_gap,pixel_permuted_template,7001,prob_error_reduction,selected,0.08480262383818626,4
single_shape,plain2_w16_gap,pixel_permuted_template,7002,centered_logit_fidelity,selected,-0.023146558016506932,4
single_shape,plain2_w16_gap,pixel_permuted_template,7002,prob_error_reduction,selected,0.19971819687634706,4
single_shape,plain2_w16_gap,pixel_permuted_template,7003,centered_logit_fidelity,selected,-0.04857973337084867,4
single_shape,plain2_w16_gap,pixel_permuted_template,7003,prob_error_reduction,selected,0.24214189685881138,4
single_shape,plain2_w16_gap,pixel_permuted_template,7004,centered_logit_fidelity,selected,0.004569035103977631,4
single_shape,plain2_w16_gap,pixel_permuted_template,7004,prob_error_reduction,selected,0.16393326595425606,4
single_shape,plain2_w16_gap,pixel_permuted_template,7005,centered_logit_fidelity,selected,0.00387265957720509,4
single_shape,plain2_w16_gap,pixel_permuted_template,7005,prob_error_reduction,selected,0.2056700624525547,4
single_shape,plain2_w16_gap,pixel_permuted_template,7006,centered_logit_fidelity,selected,0.051789073790935,4
single_shape,plain2_w16_gap,pixel_permuted_template,7006,prob_error_reduction,selected,0.25617046654224396,4
single_shape,plain2_w16_gap,pixel_permuted_template,7007,centered_logit_fidelity,selected,0.010631135360104599,4
single_shape,plain2_w16_gap,pixel_permuted_template,7007,prob_error_reduction,selected,0.13714226707816124,4
single_shape,plain2_w16_gap,pixel_permuted_template,7008,centered_logit_fidelity,selected,0.04872341868738424,4
single_shape,plain2_w16_gap,pixel_permuted_template,7008,prob_error_reduction,selected,0.048955248668789864,4
single_shape,plain2_w16_gap,pixel_permuted_template,7009,centered_logit_fidelity,selected,0.001257141746205448,4
single_shape,plain2_w16_gap,pixel_permuted_template,7009,prob_error_reduction,selected,0.22769303247332573,4
single_shape,plain2_w16_gap,pixel_permuted_template,7010,centered_logit_fidelity,selected,-0.03733812576180642,4
single_shape,plain2_w16_gap,pixel_permuted_template,7010,prob_error_reduction,selected,0.06646646186709404,4
single_shape,plain2_w16_gap,pixel_permuted_template,7011,centered_logit_fidelity,selected,0.13243383213546464,4
single_shape,plain2_w16_gap,pixel_permuted_template,7011,prob_error_reduction,selected,0.16789056360721588,4
single_shape,plain2_w16_gap,pixel_permuted_template,7012,centered_logit_fidelity,selected,-0.06822298324068805,4
single_shape,plain2_w16_gap,pixel_permuted_template,7012,prob_error_reduction,selected,0.040557920932769775,4
single_shape,plain2_w16_gap,pixel_permuted_template,7013,centered_logit_fidelity,selected,-0.0201060363237444,4
single_shape,plain2_w16_gap,pixel_permuted_template,7013,prob_error_reduction,selected,0.12301142513751984,4
single_shape,plain2_w16_gap,pixel_permuted_template,7014,centered_logit_fidelity,selected,0.016700152526233858,4
single_shape,plain2_w16_gap,pixel_permuted_template,7014,prob_error_reduction,selected,0.1392015628516674,4
single_shape,plain2_w16_gap,pixel_permuted_template,7015,centered_logit_fidelity,selected,0.0330279715759281,4
single_shape,plain2_w16_gap,pixel_permuted_template,7015,prob_error_reduction,selected,0.11732148565351963,4
single_shape,plain2_w16_gap,pixel_permuted_template,7016,centered_logit_fidelity,selected,0.0015243992447571408,4
single_shape,plain2_w16_gap,pixel_permuted_template,7016,prob_error_reduction,selected,0.14012674987316132,4
single_shape,plain2_w16_gap,pixel_permuted_template,7017,centered_logit_fidelity,selected,0.050615760654371955,4
single_shape,plain2_w16_gap,pixel_permuted_template,7017,prob_error_reduction,selected,0.22521067410707474,4
single_shape,plain2_w16_gap,pixel_permuted_template,7018,centered_logit_fidelity,selected,-0.0593011649434282,4
single_shape,plain2_w16_gap,pixel_permuted_template,7018,prob_error_reduction,selected,0.05473618861287832,4
single_shape,plain2_w16_gap,pixel_permuted_template,7019,centered_logit_fidelity,selected,-0.09989730721779957,4
single_shape,plain2_w16_gap,pixel_permuted_template,7019,prob_error_reduction,selected,0.2821825072169304,4
single_shape,plain2_w16_gap,pixel_permuted_template,7020,centered_logit_fidelity,selected,0.054957349254306925,4
single_shape,plain2_w16_gap,pixel_permuted_template,7020,prob_error_reduction,selected,0.13674607500433922,4
single_shape,plain2_w16_gap,pixel_permuted_template,7021,centered_logit_fidelity,selected,0.033946760238590334,4
single_shape,plain2_w16_gap,pixel_permuted_template,7021,prob_error_reduction,selected,0.16044951230287552,4
single_shape,plain2_w16_gap,pixel_permuted_template,7022,centered_logit_fidelity,selected,0.0017158673337972913,4
single_shape,plain2_w16_gap,pixel_permuted_template,7022,prob_error_reduction,selected,0.10830510407686234,4
single_shape,plain2_w16_gap,pixel_permuted_template,7023,centered_logit_fidelity,selected,0.022882698318086217,4
single_shape,plain2_w16_gap,pixel_permuted_template,7023,prob_error_reduction,selected,0.24898483231663704,4
single_shape,plain2_w16_gap,pixel_permuted_template,7024,centered_logit_fidelity,selected,-0.01582827887721651,4
single_shape,plain2_w16_gap,pixel_permuted_template,7024,prob_error_reduction,selected,0.06366573460400105,4
single_shape,plain2_w16_gap,pixel_permuted_template,7025,centered_logit_fidelity,selected,-0.0004207866245815456,4
single_shape,plain2_w16_gap,pixel_permuted_template,7025,prob_error_reduction,selected,0.2872331105172634,4
single_shape,plain2_w16_gap,pixel_permuted_template,7026,centered_logit_fidelity,selected,-0.017085398621684664,4
single_shape,plain2_w16_gap,pixel_permuted_template,7026,prob_error_reduction,selected,0.19388754665851593,4
single_shape,plain2_w16_gap,pixel_permuted_template,7027,centered_logit_fidelity,selected,-0.006270268082551045,4
single_shape,plain2_w16_gap,pixel_permuted_template,7027,prob_error_reduction,selected,0.16793596744537354,4
single_shape,plain2_w16_gap,pixel_permuted_template,7028,centered_logit_fidelity,selected,-0.02531078151450991,4
single_shape,plain2_w16_gap,pixel_permuted_template,7028,prob_error_reduction,selected,0.12374181859195232,4
single_shape,plain2_w16_gap,pixel_permuted_template,7029,centered_logit_fidelity,selected,-0.012062708288179638,4
single_shape,plain2_w16_gap,pixel_permuted_template,7029,prob_error_reduction,selected,0.14174947887659073,4
single_shape,plain2_w16_gap,pixel_permuted_template,7030,centered_logit_fidelity,selected,0.028593651592425884,4
single_shape,plain2_w16_gap,pixel_permuted_template,7030,prob_error_reduction,selected,0.19902729243040085,4
single_shape,plain2_w16_gap,pixel_permuted_template,7031,centered_logit_fidelity,selected,-0.04987583810813155,4
single_shape,plain2_w16_gap,pixel_permuted_template,7031,prob_error_reduction,selected,0.10621597245335579,4
single_shape,plain2_w16_gap,pixel_permuted_template,7032,centered_logit_fidelity,selected,0.007571953400231576,4
single_shape,plain2_w16_gap,pixel_permuted_template,7032,prob_error_reduction,selected,0.139283936470747,4
single_shape,plain2_w16_gap,pixel_permuted_template,7033,centered_logit_fidelity,selected,0.021691024724175084,4
single_shape,plain2_w16_gap,pixel_permuted_template,7033,prob_error_reduction,selected,0.09952359274029732,4
