task,architecture,anchor_family,quantity,retention_mean,release_mean,delta_n,delta_mean,delta_sd,delta_ci_low,delta_ci_high
single_shape,plain2_w16_gap,pixel_permuted_template,own_anchor_alignment,0.9692919745140199,0.7200425429951304,100,0.2492494315188895,0.01251510097904237,0.24676616396754633,0.25173269907023266
single_shape,plain2_w16_gap,random_fullrank,own_anchor_alignment,0.9715043642492533,0.7348946785907553,100,0.23660968565849813,0.01192887930331012,0.2342427372057925,0.23897663411120376
single_shape,plain2_w16_gap,random_rank10,own_anchor_alignment,0.9702910902591898,0.7329736783041618,100,0.23731741195502784,0.010870912392680383,0.2351603870901511,0.23947443681990457
single_shape,plain2_w16_gap,structured_template,own_anchor_alignment,0.9816966416522283,0.7438811054516056,100,0.23781553620062265,0.008661521877127088,0.23609690234710942,0.23953417005413588
single_shape,plain2_w16_gmp,pixel_permuted_template,own_anchor_alignment,0.999804855881269,0.9446094921344956,100,0.055195363746773314,0.003779267027627726,0.05444547517669426,0.05594525231685237
single_shape,plain2_w16_gmp,random_fullrank,own_anchor_alignment,0.9998680306442883,0.955595840502614,100,0.044272190141674474,0.002872902211737634,0.04370214401479648,0.044842236268552466
single_shape,plain2_w16_gmp,random_rank10,own_anchor_alignment,0.9998303507521037,0.9522419877172795,100,0.047588363034824006,0.002882715011730517,0.047016369835537176,0.048160356234110836
single_shape,plain2_w16_gmp,structured_template,own_anchor_alignment,0.9999393385020451,0.9411116499083892,100,0.05882768859365573,0.0037481441570647966,0.05808397547631198,0.059571401710999485
single_shape,tiny_gap,pixel_permuted_template,own_anchor_alignment,0.9959262538371934,0.37116385622241566,100,0.6247623976147777,0.0143594463430521,0.6219131719298497,0.6276116232997057
single_shape,tiny_gap,random_fullrank,own_anchor_alignment,0.996068971432811,0.3739306950358165,100,0.6221382763969945,0.009910915053526863,0.6201717358315004,0.6241048169624885
single_shape,tiny_gap,random_rank10,own_anchor_alignment,0.9961137805590471,0.3742677896670788,100,0.6218459908919682,0.010997849167768223,0.6196637790170006,0.6240282027669358
single_shape,tiny_gap,structured_template,own_anchor_alignment,0.9962514546759135,0.6501346094329107,100,0.346116845243003,0.010938204780986699,0.34394646810836726,0.34828722237763876
single_shape,tiny_gmp,pixel_permuted_template,own_anchor_alignment,0.9548937989034839,0.6330605048700909,100,0.32183329403339306,0.007833599707555094,0.3202789379002257,0.3233876501665604
single_shape,tiny_gmp,random_fullrank,own_anchor_alignment,0.9566691278552137,0.6373701510558132,100,0.31929897679940056,0.006877885406209335,0.3179342551179936,0.3206636984808075
single_shape,tiny_gmp,random_rank10,own_anchor_alignment,0.9561492002717931,0.6360457944448642,100,0.3201034058269289,0.007354682842463045,0.31864407718997323,0.3215627344638846
single_shape,tiny_gmp,structured_template,own_anchor_alignment,0.9577866053644029,0.6780296754430549,100,0.27975692992134804,0.007213275991453342,0.27832565947147675,0.28118820037121933
two_concepts,plain2_w16_gap,pixel_permuted_template,own_anchor_alignment,0.960940070692184,0.6683192556390353,100,0.2926208150531488,0.017810088562757148,0.289086907089601,0.2961547230166966
two_concepts,plain2_w16_gap,random_fullrank,own_anchor_alignment,0.9596250600342542,0.6909978950546588,100,0.2686271649795954,0.012217386997479596,0.2662029703411463,0.27105135961804444
two_concepts,plain2_w16_gap,random_rank10,own_anchor_alignment,0.9600423464213254,0.6846092726744548,100,0.2754330737468705,0.01593476652938435,0.27227127036015286,0.2785948771335881
two_concepts,plain2_w16_gap,structured_template,own_anchor_alignment,0.9739662814037727,0.7314096739160334,100,0.24255660748773916,0.011212359467785999,0.240331832115413,0.24478138286006532
two_concepts,plain2_w16_gmp,pixel_permuted_template,own_anchor_alignment,0.9987954130353177,0.9075658213798422,100,0.09122959165547531,0.005681190209654119,0.09010232026355706,0.09235686304739356
two_concepts,plain2_w16_gmp,random_fullrank,own_anchor_alignment,0.9994768373866242,0.9272702255645453,100,0.07220661182207898,0.003348771808666779,0.07154214284310384,0.07287108080105412
two_concepts,plain2_w16_gmp,random_rank10,own_anchor_alignment,0.9992447453490091,0.9201572747808665,100,0.07908747056814255,0.003961465670373176,0.07830142983451434,0.07987351130177077
two_concepts,plain2_w16_gmp,structured_template,own_anchor_alignment,0.9988403429357049,0.8998238645493748,100,0.09901647838633039,0.006121603726985214,0.09780181939773253,0.10023113737492825
two_concepts,tiny_gap,pixel_permuted_template,own_anchor_alignment,0.9986680311474676,0.4223812677036471,100,0.5762867634438207,0.012816188047803906,0.5737437536859035,0.5788297732017379
two_concepts,tiny_gap,random_fullrank,own_anchor_alignment,0.9987016786441536,0.4237094788480313,100,0.5749921997961224,0.012363129288350377,0.5725390867252624,0.5774453128669823
two_concepts,tiny_gap,random_rank10,own_anchor_alignment,0.9987211463298007,0.42359514507707696,100,0.5751260012527236,0.014011975140405435,0.5723457213928437,0.5779062811126036
two_concepts,tiny_gap,structured_template,own_anchor_alignment,0.9989137752202312,0.590290207608173,100,0.40862356761205826,0.008761924101206487,0.4068850117790455,0.410362123445071
two_concepts,tiny_gmp,pixel_permuted_template,own_anchor_alignment,0.9356769513766671,0.5628383370618583,100,0.3728386143148089,0.008652949206621574,0.37112168146510943,0.3745555471645084
two_concepts,tiny_gmp,random_fullrank,own_anchor_alignment,0.9376699172326377,0.5697631469308742,100,0.36790677030176355,0.007790453491781354,0.36636097531386974,0.36945256528965736
two_concepts,tiny_gmp,random_rank10,own_anchor_alignment,0.937341995997754,0.5667312725259821,100,0.3706107234717718,0.00911627733195113,0.36880185627002976,0.3724195906735139
two_concepts,tiny_gmp,structured_template,own_anchor_alignment,0.942645156123518,0.5731795377669227,100,0.3694656183565956,0.01107901881303319,0.36726730066301905,0.3716639360501721
single_shape,plain2_w16_gap,pixel_permuted_template,structured_template_alignment,0.17310479651711916,0.24533789706392603,100,-0.07223310054680689,0.013648742996419173,-0.07494130726894102,-0.06952489382467275
single_shape,plain2_w16_gap,random_fullrank,structured_template_alignment,0.17108308596664518,0.24326060294905033,100,-0.07217751698240517,0.010442878351247319,-0.07424961060719515,-0.07010542335761519
single_shape,plain2_w16_gap,random_rank10,structured_template_alignment,0.16812749589128376,0.23852035236208446,100,-0.07039285647080072,0.010710312003543544,-0.07251801473422179,-0.06826769820737966
single_shape,plain2_w16_gap,structured_template,structured_template_alignment,0.9816966416522283,0.7438811054516056,100,0.23781553620062265,0.008661521877127088,0.23609690234710942,0.23953417005413588
single_shape,plain2_w16_gmp,pixel_permuted_template,structured_template_alignment,0.16064358313573227,0.21782051923869905,100,-0.05717693610296676,0.009182251606330124,-0.05899889403206794,-0.055354978173865574
single_shape,plain2_w16_gmp,random_fullrank,structured_template_alignment,0.1556262632578527,0.20480866505464249,100,-0.04918240179678981,0.0075250459409284005,-0.05067553416853548,-0.04768926942504414
single_shape,plain2_w16_gmp,random_rank10,structured_template_alignment,0.15376172151332135,0.20172112749504895,100,-0.04795940598172757,0.007740881223124762,-0.04949536475604169,-0.046423447207413454
single_shape,plain2_w16_gmp,structured_template,structured_template_alignment,0.9999393385020451,0.9411116499083892,100,0.05882768859365573,0.0037481441570647966,0.05808397547631198,0.059571401710999485
single_shape,tiny_gap,pixel_permuted_template,structured_template_alignment,0.1741809010697929,0.38268380264836643,100,-0.20850290157857362,0.02379730082649782,-0.21322480234876748,-0.20378100080837977
single_shape,tiny_gap,random_fullrank,structured_template_alignment,0.16845557389898538,0.37648895760150963,100,-0.20803338370252425,0.01697633430559056,-0.21140185673301934,-0.20466491067202916
single_shape,tiny_gap,random_rank10,structured_template_alignment,0.16662328249034647,0.37428768752352015,100,-0.2076644050331736,0.02059187423437833,-0.2117502796252525,-0.2035785304410947
