task,architecture,metric,delta_alignment_mean,delta_alignment_ci_low,delta_alignment_ci_high,B_mean,B_ci_low,B_ci_high
two_concepts,bn2_w16_gap,centered_logit_fidelity,0.19345596020156233,0.1913919482062829,0.19551997219684175,-0.13816720280241337,-0.19596519161444992,-0.08036921399037682
two_concepts,bn2_w16_gmp,centered_logit_fidelity,0.04428517749908443,0.043197964764781896,0.04537239023338696,0.01649964678515319,0.00243565232517666,0.030563641245129718
two_concepts,bn4_w16_gap,centered_logit_fidelity,0.03989080920686067,0.03936390844290596,0.040417709970815376,0.14450255933985093,0.1176716131769587,0.17133350550274315
two_concepts,bn4_w16_gmp,centered_logit_fidelity,0.005446911913333931,0.005264589189403289,0.005629234637264572,0.013176304797875073,0.006296625393279003,0.020055984202471143
two_concepts,plain2_w16_gap,centered_logit_fidelity,0.24042133215246686,0.23788253086191635,0.24296013344301737,0.09362257302349279,0.07339380798671123,0.11385133806027435
two_concepts,plain2_w16_gmp,centered_logit_fidelity,0.09917921329241178,0.09800425664597587,0.10035416993884769,-0.016681360073252015,-0.022726056131072158,-0.010636664015431872
two_concepts,plain2_w64_gap,centered_logit_fidelity,0.17451416717277307,0.1729986124741033,0.17602972187144283,0.22129026847748726,0.20219831108130665,0.24038222587366787
two_concepts,plain2_w64_gmp,centered_logit_fidelity,0.04811429013377892,0.04754741212984741,0.04868116813771044,-0.00720534866357005,-0.011271506358061067,-0.003139190969079033
two_concepts,plain4_w16_gap,centered_logit_fidelity,0.11217484918577401,0.10947023648663251,0.11487946188491552,0.02770863843959246,0.013847014651097864,0.04157026222808706
two_concepts,plain4_w16_gmp,centered_logit_fidelity,0.010908088640926673,0.01033766116234409,0.011478516119509256,-0.01676115952108384,-0.021115810811233263,-0.012406508230934418
two_concepts,plain4_w64_gap,centered_logit_fidelity,0.050267532937023816,0.048597926358155956,0.05193713951589168,0.05112052527595254,0.040806171197471555,0.06143487935443352
two_concepts,plain4_w64_gmp,centered_logit_fidelity,0.0006594009403094663,0.0006010536125996726,0.00071774826801926,-0.004858616286822326,-0.006778172364647223,-0.0029390602089974286
two_concepts,res4_w16_gap,centered_logit_fidelity,0.10370995709597647,0.1008139640384069,0.10660595015354604,0.04435178861518724,0.02762266010043448,0.061080917129939995
two_concepts,res4_w16_gmp,centered_logit_fidelity,0.009244150735087671,0.008823010680346355,0.009665290789828987,-0.017473830637360074,-0.0216227360193522,-0.013324925255367947
two_concepts,tiny_gap,centered_logit_fidelity,0.408470660126171,0.4066086492194528,0.41033267103288923,0.08492618728756007,0.07643302844349793,0.09341934613162221
two_concepts,tiny_gmp,centered_logit_fidelity,0.3688501014690492,0.36643027712199727,0.3712699258161011,0.1455765030257962,0.13516561384630135,0.15598739220529104
two_concepts,bn2_w16_gap,prob_error_reduction,0.19345596020156233,0.1913919482062829,0.19551997219684175,-0.03899207196896896,-0.07056487678020879,-0.0074192671577291355
two_concepts,bn2_w16_gmp,prob_error_reduction,0.04428517749908443,0.043197964764781896,0.04537239023338696,0.012710641850717366,-0.01275736098364181,0.03817864468507654
two_concepts,bn4_w16_gap,prob_error_reduction,0.03989080920686067,0.03936390844290596,0.040417709970815376,0.07570348741486668,0.05315324092185016,0.0982537339078832
two_concepts,bn4_w16_gmp,prob_error_reduction,0.005446911913333931,0.005264589189403289,0.005629234637264572,-0.002345316242426634,-0.01626913905242421,0.01157850656757094
two_concepts,plain2_w16_gap,prob_error_reduction,0.24042133215246686,0.23788253086191635,0.24296013344301737,0.33477319896686825,0.32070244799821795,0.34884394993551854
two_concepts,plain2_w16_gmp,prob_error_reduction,0.09917921329241178,0.09800425664597587,0.10035416993884769,-0.05808355458080769,-0.07574579094631645,-0.040421318215298936
two_concepts,plain2_w64_gap,prob_error_reduction,0.17451416717277307,0.1729986124741033,0.17602972187144283,0.3247428636625409,0.3045415780500351,0.3449441492750467
two_concepts,plain2_w64_gmp,prob_error_reduction,0.04811429013377892,0.04754741212984741,0.04868116813771044,-0.002051385510712862,-0.015211730896885801,0.011108959875460078
two_concepts,plain4_w16_gap,prob_error_reduction,0.11217484918577401,0.10947023648663251,0.11487946188491552,0.11600727666169405,0.09919975921139816,0.13281479411198993
two_concepts,plain4_w16_gmp,prob_error_reduction,0.010908088640926673,0.01033766116234409,0.011478516119509256,-0.05613531241193414,-0.06753821699769454,-0.04473240782617374
two_concepts,plain4_w64_gap,prob_error_reduction,0.050267532937023816,0.048597926358155956,0.05193713951589168,0.0013092977134510876,-0.014991106256373458,0.017609701683275632
two_concepts,plain4_w64_gmp,prob_error_reduction,0.0006594009403094663,0.0006010536125996726,0.00071774826801926,-0.023797275368124246,-0.02816944629525433,-0.019425104440994163
two_concepts,res4_w16_gap,prob_error_reduction,0.10370995709597647,0.1008139640384069,0.10660595015354604,0.09740101331844926,0.07556966375442584,0.11923236288247269
two_concepts,res4_w16_gmp,prob_error_reduction,0.009244150735087671,0.008823010680346355,0.009665290789828987,-0.04480225579813123,-0.05537826465113645,-0.03422624694512601
two_concepts,tiny_gap,prob_error_reduction,0.408470660126171,0.4066086492194528,0.41033267103288923,0.09435830475311377,0.09014539570518515,0.09857121380104239
two_concepts,tiny_gmp,prob_error_reduction,0.3688501014690492,0.36643027712199727,0.3712699258161011,0.8315121474791886,0.8122263136917091,0.8507979812666681
