task,architecture,block,metric,kind,B,init_reps
single_shape,bn2_w16_gap,6000,centered_logit_fidelity,random,0.48998859146215856,4
single_shape,bn2_w16_gap,6000,prob_error_reduction,random,0.1131676584482193,4
single_shape,bn2_w16_gap,6001,centered_logit_fidelity,random,0.6943205154882295,4
single_shape,bn2_w16_gap,6001,prob_error_reduction,random,0.17493489664047956,4
single_shape,bn2_w16_gap,6002,centered_logit_fidelity,random,0.5939691689286489,4
single_shape,bn2_w16_gap,6002,prob_error_reduction,random,0.13076639268547297,4
single_shape,bn2_w16_gap,6003,centered_logit_fidelity,random,0.4634519393584931,4
single_shape,bn2_w16_gap,6003,prob_error_reduction,random,0.16507272608578205,4
single_shape,bn2_w16_gap,6004,centered_logit_fidelity,random,0.42632124818983247,4
single_shape,bn2_w16_gap,6004,prob_error_reduction,random,0.1312618926167488,4
single_shape,bn2_w16_gap,6005,centered_logit_fidelity,random,0.4998900936465524,4
single_shape,bn2_w16_gap,6005,prob_error_reduction,random,0.15282436460256577,4
single_shape,bn2_w16_gap,6006,centered_logit_fidelity,random,0.5886734288956322,4
single_shape,bn2_w16_gap,6006,prob_error_reduction,random,0.10810136888176203,4
single_shape,bn2_w16_gap,6007,centered_logit_fidelity,random,0.3175810726346163,4
single_shape,bn2_w16_gap,6007,prob_error_reduction,random,0.08647310175001621,4
single_shape,bn2_w16_gap,6008,centered_logit_fidelity,random,0.5963812307971963,4
single_shape,bn2_w16_gap,6008,prob_error_reduction,random,0.07991700526326895,4
single_shape,bn2_w16_gap,6009,centered_logit_fidelity,random,0.13536163433145684,4
single_shape,bn2_w16_gap,6009,prob_error_reduction,random,0.0840680031105876,4
single_shape,bn2_w16_gap,6010,centered_logit_fidelity,random,0.3323174110353244,4
single_shape,bn2_w16_gap,6010,prob_error_reduction,random,0.09257172234356403,4
single_shape,bn2_w16_gap,6011,centered_logit_fidelity,random,0.21496379715929095,4
single_shape,bn2_w16_gap,6011,prob_error_reduction,random,0.20620387326925993,4
single_shape,bn2_w16_gap,6012,centered_logit_fidelity,random,0.7321973848474875,4
single_shape,bn2_w16_gap,6012,prob_error_reduction,random,0.16327439341694117,4
single_shape,bn2_w16_gap,6013,centered_logit_fidelity,random,0.32313988326509774,4
single_shape,bn2_w16_gap,6013,prob_error_reduction,random,0.11970891803503036,4
single_shape,bn2_w16_gap,6014,centered_logit_fidelity,random,0.872143931618955,4
single_shape,bn2_w16_gap,6014,prob_error_reduction,random,0.1461563417688012,4
single_shape,bn2_w16_gap,6015,centered_logit_fidelity,random,0.8661117141691123,4
single_shape,bn2_w16_gap,6015,prob_error_reduction,random,0.10128347482532263,4
single_shape,bn2_w16_gap,6016,centered_logit_fidelity,random,0.9009102730504706,4
single_shape,bn2_w16_gap,6016,prob_error_reduction,random,0.10446897149085999,4
