task,architecture,block,metric,kind,B,init_reps
single_shape,bn2_w16_gap,6000,centered_logit_fidelity,selected,-0.49229048031802125,4
single_shape,bn2_w16_gap,6000,prob_error_reduction,selected,-0.11885005235671997,4
single_shape,bn2_w16_gap,6001,centered_logit_fidelity,selected,0.5140398596431579,4
single_shape,bn2_w16_gap,6001,prob_error_reduction,selected,0.08351507037878036,4
single_shape,bn2_w16_gap,6002,centered_logit_fidelity,selected,-0.18641132587691803,4
single_shape,bn2_w16_gap,6002,prob_error_reduction,selected,0.03489569574594498,4
single_shape,bn2_w16_gap,6003,centered_logit_fidelity,selected,-0.5040868543817778,4
single_shape,bn2_w16_gap,6003,prob_error_reduction,selected,-0.00878983736038208,4
single_shape,bn2_w16_gap,6004,centered_logit_fidelity,selected,-1.2381055397921223,4
single_shape,bn2_w16_gap,6004,prob_error_reduction,selected,-0.07733182609081268,4
single_shape,bn2_w16_gap,6005,centered_logit_fidelity,selected,-0.18461094043261317,4
single_shape,bn2_w16_gap,6005,prob_error_reduction,selected,0.09039606153964996,4
single_shape,bn2_w16_gap,6006,centered_logit_fidelity,selected,-0.24802286361873296,4
single_shape,bn2_w16_gap,6006,prob_error_reduction,selected,-0.06913349777460098,4
single_shape,bn2_w16_gap,6007,centered_logit_fidelity,selected,0.44951918264617996,4
single_shape,bn2_w16_gap,6007,prob_error_reduction,selected,0.026715070009231567,4
single_shape,bn2_w16_gap,6008,centered_logit_fidelity,selected,0.27550352411569234,4
single_shape,bn2_w16_gap,6008,prob_error_reduction,selected,-0.027345582842826843,4
single_shape,bn2_w16_gap,6009,centered_logit_fidelity,selected,-0.6417142353350234,4
single_shape,bn2_w16_gap,6009,prob_error_reduction,selected,-0.12813344597816467,4
single_shape,bn2_w16_gap,6010,centered_logit_fidelity,selected,-0.8793708967340128,4
single_shape,bn2_w16_gap,6010,prob_error_reduction,selected,0.07565013319253922,4
single_shape,bn2_w16_gap,6011,centered_logit_fidelity,selected,0.08718771542411637,4
single_shape,bn2_w16_gap,6011,prob_error_reduction,selected,0.28242363780736923,4
single_shape,bn2_w16_gap,6012,centered_logit_fidelity,selected,-0.16373253317147785,4
single_shape,bn2_w16_gap,6012,prob_error_reduction,selected,-0.06701882183551788,4
single_shape,bn2_w16_gap,6013,centered_logit_fidelity,selected,-0.23533568102560165,4
single_shape,bn2_w16_gap,6013,prob_error_reduction,selected,-0.07772000133991241,4
single_shape,bn2_w16_gap,6014,centered_logit_fidelity,selected,0.12677030024009284,4
single_shape,bn2_w16_gap,6014,prob_error_reduction,selected,-0.006650619208812714,4
single_shape,bn2_w16_gap,6015,centered_logit_fidelity,selected,0.028525211359911956,4
single_shape,bn2_w16_gap,6015,prob_error_reduction,selected,-0.0075130462646484375,4
single_shape,bn2_w16_gap,6016,centered_logit_fidelity,selected,-0.055774027034369164,4
single_shape,bn2_w16_gap,6016,prob_error_reduction,selected,-0.02926678955554962,4
single_shape,bn2_w16_gap,6017,centered_logit_fidelity,selected,0.43419845241216914,4
single_shape,bn2_w16_gap,6017,prob_error_reduction,selected,0.2602805197238922,4
single_shape,bn2_w16_gap,6018,centered_logit_fidelity,selected,-0.6515854021270258,4
single_shape,bn2_w16_gap,6018,prob_error_reduction,selected,-0.22896216064691544,4
single_shape,bn2_w16_gap,6019,centered_logit_fidelity,selected,-0.3992141753757803,4
single_shape,bn2_w16_gap,6019,prob_error_reduction,selected,0.05267496407032013,4
single_shape,bn2_w16_gap,6020,centered_logit_fidelity,selected,0.2426465791626154,4
single_shape,bn2_w16_gap,6020,prob_error_reduction,selected,-0.00015024840831756592,4
single_shape,bn2_w16_gap,6021,centered_logit_fidelity,selected,-0.1734090065242069,4
single_shape,bn2_w16_gap,6021,prob_error_reduction,selected,-0.035388633608818054,4
single_shape,bn2_w16_gap,6022,centered_logit_fidelity,selected,-0.7875367002402106,4
single_shape,bn2_w16_gap,6022,prob_error_reduction,selected,0.056499890983104706,4
single_shape,bn2_w16_gap,6023,centered_logit_fidelity,selected,0.399128621689291,4
single_shape,bn2_w16_gap,6023,prob_error_reduction,selected,0.24380690604448318,4
single_shape,bn2_w16_gap,6024,centered_logit_fidelity,selected,-0.4991714422900835,4
single_shape,bn2_w16_gap,6024,prob_error_reduction,selected,0.0167175754904747,4
single_shape,bn2_w16_gap,6025,centered_logit_fidelity,selected,-0.38965329063218607,4
single_shape,bn2_w16_gap,6025,prob_error_reduction,selected,-0.1555016115307808,4
single_shape,bn2_w16_gap,6026,centered_logit_fidelity,selected,-0.4265971575889884,4
single_shape,bn2_w16_gap,6026,prob_error_reduction,selected,-0.10611830651760101,4
single_shape,bn2_w16_gap,6027,centered_logit_fidelity,selected,-0.09334474715147306,4
single_shape,bn2_w16_gap,6027,prob_error_reduction,selected,-0.060933053493499756,4
single_shape,bn2_w16_gap,6028,centered_logit_fidelity,selected,0.029852040245707173,4
single_shape,bn2_w16_gap,6028,prob_error_reduction,selected,0.09704823046922684,4
single_shape,bn2_w16_gap,6029,centered_logit_fidelity,selected,-0.4175340470331021,4
single_shape,bn2_w16_gap,6029,prob_error_reduction,selected,0.1281273141503334,4
single_shape,bn2_w16_gap,6030,centered_logit_fidelity,selected,0.09094261410328583,4
single_shape,bn2_w16_gap,6030,prob_error_reduction,selected,-0.04835560917854309,4
single_shape,bn2_w16_gap,6031,centered_logit_fidelity,selected,-0.19049029216338248,4
single_shape,bn2_w16_gap,6031,prob_error_reduction,selected,-0.09058623015880585,4
single_shape,bn2_w16_gap,6032,centered_logit_fidelity,selected,0.06571907974723568,4
single_shape,bn2_w16_gap,6032,prob_error_reduction,selected,0.061595991253852844,4
single_shape,bn2_w16_gap,6033,centered_logit_fidelity,selected,-0.014263882310929815,4
single_shape,bn2_w16_gap,6033,prob_error_reduction,selected,-0.07707905769348145,4
single_shape,bn2_w16_gap,6034,centered_logit_fidelity,selected,0.4124128970617702,4
single_shape,bn2_w16_gap,6034,prob_error_reduction,selected,0.10771642625331879,4
single_shape,bn2_w16_gap,6035,centered_logit_fidelity,selected,-0.9522403125826313,4
single_shape,bn2_w16_gap,6035,prob_error_reduction,selected,-0.04677116125822067,4
single_shape,bn2_w16_gap,6036,centered_logit_fidelity,selected,-0.6148475627185307,4
single_shape,bn2_w16_gap,6036,prob_error_reduction,selected,-0.05827159434556961,4
single_shape,bn2_w16_gap,6037,centered_logit_fidelity,selected,-0.8028078346770686,4
single_shape,bn2_w16_gap,6037,prob_error_reduction,selected,-0.1504329964518547,4
single_shape,bn2_w16_gap,6038,centered_logit_fidelity,selected,0.6678534183789575,4
single_shape,bn2_w16_gap,6038,prob_error_reduction,selected,-0.10711702704429626,4
single_shape,bn2_w16_gap,6039,centered_logit_fidelity,selected,-0.18479526130590557,4
single_shape,bn2_w16_gap,6039,prob_error_reduction,selected,-0.20723869651556015,4
single_shape,bn2_w16_gap,6040,centered_logit_fidelity,selected,-0.70521339598934,4
single_shape,bn2_w16_gap,6040,prob_error_reduction,selected,0.016285963356494904,4
single_shape,bn2_w16_gap,6041,centered_logit_fidelity,selected,-0.2276480378694991,4
single_shape,bn2_w16_gap,6041,prob_error_reduction,selected,-0.1352919116616249,4
single_shape,bn2_w16_gap,6042,centered_logit_fidelity,selected,0.6046885111930859,4
single_shape,bn2_w16_gap,6042,prob_error_reduction,selected,0.09826734662055969,4
single_shape,bn2_w16_gap,6043,centered_logit_fidelity,selected,0.0009784249697463443,4
single_shape,bn2_w16_gap,6043,prob_error_reduction,selected,-0.1852523535490036,4
single_shape,bn2_w16_gap,6044,centered_logit_fidelity,selected,-0.11656287229761073,4
single_shape,bn2_w16_gap,6044,prob_error_reduction,selected,-0.0017428994178771973,4
single_shape,bn2_w16_gap,6045,centered_logit_fidelity,selected,-0.4973244790621466,4
single_shape,bn2_w16_gap,6045,prob_error_reduction,selected,-0.18341068178415298,4
single_shape,bn2_w16_gap,6046,centered_logit_fidelity,selected,-0.6861046822433997,4
single_shape,bn2_w16_gap,6046,prob_error_reduction,selected,-0.009993717074394226,4
single_shape,bn2_w16_gap,6047,centered_logit_fidelity,selected,-1.084118982284407,4
single_shape,bn2_w16_gap,6047,prob_error_reduction,selected,-0.11764222383499146,4
single_shape,bn2_w16_gap,6048,centered_logit_fidelity,selected,-0.3368814955780427,4
single_shape,bn2_w16_gap,6048,prob_error_reduction,selected,-0.005239963531494141,4
single_shape,bn2_w16_gap,6049,centered_logit_fidelity,selected,-0.8830444442652168,4
single_shape,bn2_w16_gap,6049,prob_error_reduction,selected,-0.039947643876075745,4
single_shape,bn2_w16_gap,6050,centered_logit_fidelity,selected,0.0304810202963732,4
single_shape,bn2_w16_gap,6050,prob_error_reduction,selected,0.05079980939626694,4
