task,metric,family,contrast,alternative_architecture,reference_architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_factor_family
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,tiny_gap,tiny_gmp,100,-0.0704427924590132,0.032953253776396706,-0.07698143293431875,-0.06390415198370766,-21.376581789768203,7.063763575027251e-39,5.651010860021801e-38
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,plain2_w16_gap,plain2_w16_gmp,100,-0.007638120685413757,0.08922449862477058,-0.025342196952220633,0.010065955581393117,-0.8560564422486152,0.3940338064936143,0.3940338064936143
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,plain4_w16_gap,plain4_w16_gmp,100,0.14078066101530243,0.15395045993963852,0.11023354978362679,0.17132777224697807,9.144543060832701,8.029231828302224e-15,4.817539096981334e-14
single_shape,centered_logit_fidelity,pooling,plain2_w64: GAP - GMP,plain2_w64_gap,plain2_w64_gmp,100,0.011118711241921882,0.06034641379598688,-0.0008553264802226793,0.02309274896406644,1.8424808605049687,0.06839762503388207,0.13679525006776413
single_shape,centered_logit_fidelity,pooling,plain4_w64: GAP - GMP,plain4_w64_gap,plain4_w64_gmp,100,0.07862603806520665,0.09667944759979244,0.059442738185454765,0.09780933794495855,8.132652804418326,1.246666712353888e-12,6.23333356176944e-12
single_shape,centered_logit_fidelity,pooling,res4_w16: GAP - GMP,res4_w16_gap,res4_w16_gmp,100,0.1399279114434991,0.12338406046407957,0.11544583701066008,0.1644099858763381,11.340841832988296,1.3373892944663264e-19,9.361725061264284e-19
single_shape,centered_logit_fidelity,pooling,bn2_w16: GAP - GMP,bn2_w16_gap,bn2_w16_gmp,100,-0.33689218076207206,0.4366294958816123,-0.4235289454911647,-0.2502554160329794,-7.715744903624581,9.702422371966433e-12,2.9107267115899296e-11
single_shape,centered_logit_fidelity,pooling,bn4_w16: GAP - GMP,bn4_w16_gap,bn4_w16_gmp,100,0.3744693277945428,0.48136541556394014,0.27895598604760174,0.4699826695414838,7.779315166542157,7.105755644570242e-12,2.8423022578280968e-11
single_shape,centered_logit_fidelity,depth,GMP: plain2 - tiny,plain2_w16_gmp,tiny_gmp,100,-0.004382009072034152,0.028354940977203785,-0.01000824452685416,0.0012442263827858561,-1.5454128702144392,0.12543717404268406,0.12543717404268406
single_shape,centered_logit_fidelity,depth,GAP: plain2 - tiny,plain2_w16_gap,tiny_gap,100,0.058422662701565306,0.0926571873768516,0.040037466513618516,0.0768078588895121,6.30524888090451,8.068188279320392e-09,2.4204564837961175e-08
single_shape,centered_logit_fidelity,depth,GMP: plain4 - plain2,plain4_w16_gmp,plain2_w16_gmp,100,-0.03817091212723044,0.0218336151362821,-0.042503175054012916,-0.03383864920044797,-17.482634867828082,4.971352582912977e-32,1.988541033165191e-31
