task,metric,family,contrast,block,difference
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6000,-0.14179872754102435
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6001,-0.07959172997880018
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6002,-0.1262690152989186
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6003,-0.06951233463244855
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6004,-0.07412098580720516
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6005,-0.06410385179960343
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6006,-0.10625878780430932
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6007,-0.07409985298507775
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6008,-0.0683954467703523
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6009,-0.06144310004472056
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6010,-0.06445739450752362
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6011,-0.0969618652503242
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6012,-0.05503990202357603
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6013,-0.08206239548592145
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6014,-0.11516957757777103
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6015,-0.09089172096394006
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6016,-0.07920504550428367
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6017,-0.05834536141291652
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6018,-0.06243130480444539
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6019,-0.053006643184928245
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6020,-0.03746388286907423
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6021,-0.08417959716499952
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6022,-0.03166721379085098
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6023,-0.02786238752973763
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6024,-0.09759835456443243
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6025,-0.13364359582811852
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6026,-0.07157442973911239
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6027,-0.0585245827893288
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6028,-0.015252065965333766
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6029,-0.07762258805777651
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6030,-0.06858037586464462
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6031,-0.0668239728068065
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6032,-0.09568066625456864
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6033,-0.0980692929533781
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6034,-0.10537446993336548
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6035,-0.09619924792818671
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6036,-0.09635015935384242
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6037,-0.0976190165799411
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6038,-0.016593940668815046
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6039,-0.029343772127406256
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6040,-0.10294215064775888
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6041,-0.04835133849988818
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6042,-0.144190586096748
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6043,-0.06507254635075364
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6044,-0.10375593882098727
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6045,-0.08237061976112242
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6046,-0.07472519070627003
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6047,-0.1012460573443567
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6048,-0.08219502465183091
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6049,-0.08739523326803841
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6050,-0.08697817391439736
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6051,0.019408786336975972
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6052,-0.09242165615938853
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6053,-0.0451698055647423
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6054,-0.07322758980333878
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6055,-0.11882433182498298
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6056,-0.05181829244878114
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6057,-0.08726036352907277
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6058,-0.06995308635234841
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6059,-0.1042449295755865
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6060,-0.07818514968984519
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6061,-0.04208744328622596
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6062,-0.11101888454544791
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6063,-0.05619155901168901
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6064,-0.09649066596548499
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6065,-0.06461615238801825
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6066,-0.085724619679698
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6067,-0.026531104916878226
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6068,-0.07858139515279777
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6069,-0.07288257522395158
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6070,-0.08022159730917826
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6071,-0.04425419862219794
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6072,-0.044162952428427854
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6073,-0.14114579878349082
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6074,-0.02071037260226763
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6075,-0.04435059868039107
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6076,-0.0436224922030449
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6077,-0.04616689552189644
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6078,-0.0444614683194465
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6079,-0.018989979002124013
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6080,-0.026635710465898355
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6081,-0.026744364273840526
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6082,-0.13055967142828334
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6083,-0.022412265293632716
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6084,-0.03384392913334139
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6085,-0.0700610966356558
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6086,-0.11381177022212993
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6087,-0.0032550011295288256
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6088,-0.056202213749128746
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6089,-0.10215528378498347
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6090,-0.09298220748316993
single_shape,centered_logit_fidelity,pooling,tiny: GAP - GMP,6091,-0.08894422830991491
