task,architecture,treatment,k,metric,control,n,mean,sd,ci_low,ci_high
single_shape,bn2_w16_gap,release_default,1,centered_logit_fidelity,random,100,0.12077967749893005,0.14889447294155167,0.09123578377811487,0.15032357121974524
single_shape,bn2_w16_gap,release_default,2,centered_logit_fidelity,random,100,0.47273485582113023,0.19188467277575263,0.43466077377400414,0.5108089378682563
single_shape,bn2_w16_gap,release_default,3,centered_logit_fidelity,random,100,0.6235529289819162,0.24168337287724834,0.5755977044439544,0.6715081535198779
single_shape,bn2_w16_gap,release_default,4,centered_logit_fidelity,random,100,0.5839178124773713,0.35805624245568685,0.5128716858871802,0.6549639390675623
single_shape,bn2_w16_gap,release_default,5,centered_logit_fidelity,random,100,0.5242294651876619,0.41801662578825927,0.4412858976942599,0.6071730326810639
single_shape,bn2_w16_gap,release_default,6,centered_logit_fidelity,random,100,0.517136395644645,0.43717318144995637,0.43039175190344814,0.6038810393858418
single_shape,bn2_w16_gap,release_default,7,centered_logit_fidelity,random,100,0.5423835710282298,0.4351142126316156,0.4560474713702469,0.6287196706862126
single_shape,bn2_w16_gap,release_default,8,centered_logit_fidelity,random,100,0.508414826510275,0.46677886713915157,0.4157957724282942,0.6010338805922559
single_shape,bn2_w16_gap,release_default,9,centered_logit_fidelity,random,100,0.5207748070015857,0.4869995237048555,0.4241435359666172,0.6174060780365542
single_shape,bn2_w16_gap,release_default,10,centered_logit_fidelity,random,100,0.4775963096511011,0.4695697432575194,0.3844234851987359,0.5707691341034663
single_shape,bn2_w16_gap,release_default,11,centered_logit_fidelity,random,100,0.4443864873796374,0.4514958874943119,0.3547999080258606,0.5339730667334142
single_shape,bn2_w16_gap,release_default,12,centered_logit_fidelity,random,100,0.3716095058604836,0.420894902082261,0.2880948259056908,0.45512418581527636
single_shape,bn2_w16_gap,release_default,13,centered_logit_fidelity,random,100,0.2589438384079855,0.3524630814449887,0.18900751630683246,0.3288801605091386
single_shape,bn2_w16_gap,release_default,14,centered_logit_fidelity,random,100,0.16662996716814654,0.26958887657146186,0.11313768528292326,0.22012224905336983
single_shape,bn2_w16_gap,release_default,15,centered_logit_fidelity,random,100,0.08390577270518883,0.16071533677502942,0.0520163631442955,0.11579518226608215
single_shape,bn2_w16_gap,release_default,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gap,retention_1,1,centered_logit_fidelity,random,100,-0.2415116188175435,0.22949743000506959,-0.28704888791370115,-0.19597434972138586
single_shape,bn2_w16_gap,retention_1,2,centered_logit_fidelity,random,100,0.6522230466778454,0.22690563557380405,0.6072000458262422,0.6972460475294485
single_shape,bn2_w16_gap,retention_1,3,centered_logit_fidelity,random,100,0.9850963342377606,0.37457861073629206,0.9107718113252965,1.0594208571502246
single_shape,bn2_w16_gap,retention_1,4,centered_logit_fidelity,random,100,0.7892838832778207,0.47570733120174147,0.6948932282213778,0.8836745383342637
single_shape,bn2_w16_gap,retention_1,5,centered_logit_fidelity,random,100,0.8492534507332367,0.553475806792728,0.7394318429201266,0.9590750585463467
single_shape,bn2_w16_gap,retention_1,6,centered_logit_fidelity,random,100,0.856017569505876,0.6645946072280849,0.7241475809463878,0.9878875580653643
single_shape,bn2_w16_gap,retention_1,7,centered_logit_fidelity,random,100,1.0738779860744778,0.7681445846091466,0.9214614354694003,1.2262945366795555
single_shape,bn2_w16_gap,retention_1,8,centered_logit_fidelity,random,100,1.6631613218594128,0.6125098366052658,1.5416260817788534,1.7846965619399722
single_shape,bn2_w16_gap,retention_1,9,centered_logit_fidelity,random,100,1.6796309880214186,0.6552643785782261,1.5496123192468532,1.809649656795984
single_shape,bn2_w16_gap,retention_1,10,centered_logit_fidelity,random,100,1.229321066143551,0.6270227317381843,1.1049061528090582,1.3537359794780437
single_shape,bn2_w16_gap,retention_1,11,centered_logit_fidelity,random,100,0.7271447534056353,0.5973234715686921,0.6086228176189307,0.84566668919234
single_shape,bn2_w16_gap,retention_1,12,centered_logit_fidelity,random,100,0.2179827491063023,0.6482030265269089,0.08936520577587104,0.34660029243673357
single_shape,bn2_w16_gap,retention_1,13,centered_logit_fidelity,random,100,0.1470990390140246,0.5656877989672251,0.03485430701238687,0.2593437710156623
