task,architecture,metric,k,n,mean,sd,ci_low,ci_high
single_shape,bn2_w16_gap,agreement,1,100,-0.00029622404021210967,0.04693043456125795,-0.009608240420388619,0.0090157923399644
single_shape,bn2_w16_gap,agreement,2,100,-0.041256511229730675,0.05537455751817131,-0.052244024801145934,-0.030268997658315415
single_shape,bn2_w16_gap,agreement,3,100,-0.08641927400196436,0.05640242869050333,-0.09761073951379845,-0.07522780849013028
single_shape,bn2_w16_gap,agreement,4,100,-0.09056640874245205,0.060161947020068954,-0.10250384425421852,-0.07862897323068557
single_shape,bn2_w16_gap,agreement,5,100,-0.06798828325700015,0.05456694326600708,-0.07881554863946671,-0.0571610178745336
single_shape,bn2_w16_gap,agreement,6,100,-0.05185547079890966,0.06378786564794223,-0.06451236723132604,-0.03919857436649327
single_shape,bn2_w16_gap,agreement,7,100,-0.024446614310145377,0.06325826409837314,-0.03699842630533762,-0.011894802314953132
single_shape,bn2_w16_gap,agreement,8,100,-0.0120996084343642,0.08091539548876063,-0.028154978371675993,0.003955761502947594
single_shape,bn2_w16_gap,agreement,9,100,-0.012431641211733221,0.07503391520221615,-0.027319997860546726,0.0024567154370802834
single_shape,bn2_w16_gap,agreement,10,100,-0.016757814101874827,0.07788568042307588,-0.03221202284000578,-0.0013036053637438764
single_shape,bn2_w16_gap,agreement,11,100,0.005107423141598701,0.07833186064497971,-0.010435317432508667,0.02065016371570607
single_shape,bn2_w16_gap,agreement,12,100,0.047174480454996226,0.09286133580992097,0.028748776788895827,0.06560018412109662
single_shape,bn2_w16_gap,agreement,13,100,0.07809245077893139,0.10223301539290111,0.057807202563492435,0.09837769899437034
single_shape,bn2_w16_gap,agreement,14,100,0.10805664468556643,0.10377262004020836,0.08746590550613464,0.12864738386499822
single_shape,bn2_w16_gap,agreement,15,100,0.06968424659222365,0.1000758389898027,0.04982702897544371,0.0895414642090036
single_shape,bn2_w16_gap,agreement,16,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gap,centered_logit_error_reduction,1,100,76.98082691192627,25.389689763085258,71.94296162958288,82.01869219426966
single_shape,bn2_w16_gap,centered_logit_error_reduction,2,100,32.70104825973511,28.842422018485717,26.97808599034624,38.424010529123976
single_shape,bn2_w16_gap,centered_logit_error_reduction,3,100,21.409983673095702,40.23912646637987,13.425667987933643,29.39429935825776
single_shape,bn2_w16_gap,centered_logit_error_reduction,4,100,52.38800050735474,61.996137814491625,40.08662174891454,64.68937926579494
single_shape,bn2_w16_gap,centered_logit_error_reduction,5,100,47.012724227905274,69.5816782280321,33.20620968191599,60.819238773894554
single_shape,bn2_w16_gap,centered_logit_error_reduction,6,100,50.01976648330688,80.51472854638679,34.04389755989493,65.99563540671883
single_shape,bn2_w16_gap,centered_logit_error_reduction,7,100,30.157294940948486,99.61439407197071,10.391638006987108,49.92295187490986
single_shape,bn2_w16_gap,centered_logit_error_reduction,8,100,-46.9407487487793,88.12460218836164,-64.42658170017496,-29.454915797383634
single_shape,bn2_w16_gap,centered_logit_error_reduction,9,100,-48.374826698303224,90.27523055537695,-66.28739097593834,-30.462262420668118
single_shape,bn2_w16_gap,centered_logit_error_reduction,10,100,1.3169447517395019,106.3973750069019,-19.794602757559673,22.428492261038677
single_shape,bn2_w16_gap,centered_logit_error_reduction,11,100,54.58705348014831,92.88782735805265,36.15609331616025,73.01801364413637
single_shape,bn2_w16_gap,centered_logit_error_reduction,12,100,106.571829829216,94.99877539171162,87.72201177799752,125.42164788043448
single_shape,bn2_w16_gap,centered_logit_error_reduction,13,100,93.35224237918854,94.95249395909616,74.51160756828399,112.19287719009309
single_shape,bn2_w16_gap,centered_logit_error_reduction,14,100,86.00119112968444,69.67839308699098,72.1754862574335,99.82689600193538
single_shape,bn2_w16_gap,centered_logit_error_reduction,15,100,53.66487136363983,41.749619898925815,45.38084101106601,61.948901716213655
single_shape,bn2_w16_gap,centered_logit_error_reduction,16,100,19.360578727722167,11.699489541834225,17.03914618034062,21.682011275103715
single_shape,bn2_w16_gap,centered_logit_fidelity,1,100,0.6415699844256751,0.2034912882453554,0.6011928980620159,0.6819470707893344
single_shape,bn2_w16_gap,centered_logit_fidelity,2,100,0.30083978879726836,0.20517374684533235,0.2601288661461675,0.34155071144836924
single_shape,bn2_w16_gap,centered_logit_fidelity,3,100,0.2531963451229464,0.2845253798158407,0.19674033694423093,0.3096523533016619
single_shape,bn2_w16_gap,centered_logit_fidelity,4,100,0.5422932797172709,0.4413669792213627,0.45471649551311916,0.6298700639214228
single_shape,bn2_w16_gap,centered_logit_fidelity,5,100,0.5471457030310344,0.49527848964301247,0.4488717055404561,0.6454197005216127
single_shape,bn2_w16_gap,centered_logit_fidelity,6,100,0.5862069899999746,0.5720887770548448,0.472692165075518,0.6997218149244311
single_shape,bn2_w16_gap,centered_logit_fidelity,7,100,0.444746468485243,0.7456848982323171,0.29678640692378744,0.5927065300466986
single_shape,bn2_w16_gap,centered_logit_fidelity,8,100,-0.140132988708944,0.6442153103982572,-0.26795928264531677,-0.012306694772571264
single_shape,bn2_w16_gap,centered_logit_fidelity,9,100,-0.1628210638167153,0.6619252505743175,-0.29416139410398007,-0.03148073352945052
single_shape,bn2_w16_gap,centered_logit_fidelity,10,100,0.19758712236465625,0.7727790972529882,0.04425098390455348,0.350923260824759
single_shape,bn2_w16_gap,centered_logit_fidelity,11,100,0.5793791549215853,0.7064000506077708,0.43921405941984115,0.7195442504233295
single_shape,bn2_w16_gap,centered_logit_fidelity,12,100,0.9257075338488434,0.7127382054167306,0.7842848109257275,1.0671302567719594
single_shape,bn2_w16_gap,centered_logit_fidelity,13,100,0.7709745267180588,0.6939598797003598,0.6332778310158262,0.9086712224202913
single_shape,bn2_w16_gap,centered_logit_fidelity,14,100,0.6677181333371219,0.5146406746528831,0.5656022582749098,0.769834008399334
single_shape,bn2_w16_gap,centered_logit_fidelity,15,100,0.3504512889975174,0.3025120743852007,0.29042633039204874,0.410476247602986
single_shape,bn2_w16_gap,centered_logit_fidelity,16,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gap,cf_accuracy,1,100,0.015953776453970933,0.03566209816522784,0.008877642483112538,0.02302991042482933
single_shape,bn2_w16_gap,cf_accuracy,2,100,-0.02956705829303246,0.04543119374809197,-0.038581592769609555,-0.020552523816455365
single_shape,bn2_w16_gap,cf_accuracy,3,100,-0.08146484637458343,0.05172900090413344,-0.0917290024228445,-0.07120069032632236
single_shape,bn2_w16_gap,cf_accuracy,4,100,-0.08623698182054795,0.05751258437693698,-0.0976487263055742,-0.07482523733552171
single_shape,bn2_w16_gap,cf_accuracy,5,100,-0.06448893393855543,0.05106244584978961,-0.07462083100301703,-0.05435703687409382
single_shape,bn2_w16_gap,cf_accuracy,6,100,-0.04967773672193289,0.057825473946010245,-0.06115156528565211,-0.038203908158213666
single_shape,bn2_w16_gap,cf_accuracy,7,100,-0.024182942751795052,0.058560812191375135,-0.03580267837667456,-0.012563207126915546
single_shape,bn2_w16_gap,cf_accuracy,8,100,-0.011617837715893984,0.07814803792387029,-0.027124103874070146,0.003888428442282179
single_shape,bn2_w16_gap,cf_accuracy,9,100,-0.01409830803051591,0.07359117024719095,-0.028700392779671735,0.0005037767186399176
single_shape,bn2_w16_gap,cf_accuracy,10,100,-0.022444662656635046,0.07708624535363483,-0.03774024613311824,-0.007149079180151854
single_shape,bn2_w16_gap,cf_accuracy,11,100,-0.0018619783222675323,0.07816110958416883,-0.01737083818143867,0.013646881536903605
single_shape,bn2_w16_gap,cf_accuracy,12,100,0.04245442789979279,0.09312678003645447,0.02397605434029354,0.060932801459292044
single_shape,bn2_w16_gap,cf_accuracy,13,100,0.07594075813889503,0.1002391665061482,0.05605113279945576,0.09583038347833431
single_shape,bn2_w16_gap,cf_accuracy,14,100,0.10703450866043568,0.10300062606686071,0.0865969498338478,0.12747206748702355
single_shape,bn2_w16_gap,cf_accuracy,15,100,0.07155924674123526,0.10034255600733716,0.051649106681708475,0.09146938680076205
single_shape,bn2_w16_gap,cf_accuracy,16,100,0.03974609375,0.04646123794866532,0.030527176157056815,0.04896501134294319
single_shape,bn2_w16_gap,prob_error_reduction,1,100,0.12276350371539593,0.08571460041508736,0.10575586740118868,0.13977114002960317
single_shape,bn2_w16_gap,prob_error_reduction,2,100,0.06798487611114978,0.10409744335606397,0.04732968493875889,0.08864006728354068
single_shape,bn2_w16_gap,prob_error_reduction,3,100,-0.005972880199551583,0.12665190874430504,-0.03110336662767419,0.019157606228571024
single_shape,bn2_w16_gap,prob_error_reduction,4,100,-0.0004165280610322952,0.144315430422347,-0.029051840402983406,0.028218784280918813
single_shape,bn2_w16_gap,prob_error_reduction,5,100,0.04609018139541149,0.13763978659769946,0.018779461617422267,0.07340090117340071
single_shape,bn2_w16_gap,prob_error_reduction,6,100,0.07772945426404476,0.1528553316246014,0.04739964024905501,0.1080592682790345
single_shape,bn2_w16_gap,prob_error_reduction,7,100,0.1168705565482378,0.16075930936775626,0.08497242187095509,0.1487686912255205
single_shape,bn2_w16_gap,prob_error_reduction,8,100,0.12316838882863522,0.17981372839995308,0.08748944402672093,0.1588473336305495
single_shape,bn2_w16_gap,prob_error_reduction,9,100,0.1357109049707651,0.18366031966830865,0.09926871300880127,0.17215309693272893
single_shape,bn2_w16_gap,prob_error_reduction,10,100,0.13735709313303232,0.1878192041984698,0.10008968825262486,0.17462449801343977
single_shape,bn2_w16_gap,prob_error_reduction,11,100,0.18024873591959475,0.18796068789415663,0.14295325760445182,0.2175442142347377
single_shape,bn2_w16_gap,prob_error_reduction,12,100,0.26257821924984454,0.20422370349592767,0.22205580581060674,0.3031006326890823
single_shape,bn2_w16_gap,prob_error_reduction,13,100,0.31963317930698393,0.21458945504352114,0.2770539758740793,0.36221238273988854
single_shape,bn2_w16_gap,prob_error_reduction,14,100,0.3616789514198899,0.22326193048060397,0.31737894070953765,0.4059789621302422
single_shape,bn2_w16_gap,prob_error_reduction,15,100,0.2975523133558454,0.20377516614370877,0.25711889945837685,0.337985727253314
single_shape,bn2_w16_gap,prob_error_reduction,16,100,0.21156035281717778,0.11699257867050736,0.18834648703639495,0.2347742185979606
single_shape,bn2_w16_gap,prob_fidelity,1,100,0.055181281614890575,0.08565527567655297,0.03818541661586816,0.07217714661391299
single_shape,bn2_w16_gap,prob_fidelity,2,100,0.022254212252667264,0.08116756182038502,0.006148807044372623,0.038359617460961906
single_shape,bn2_w16_gap,prob_fidelity,3,100,-0.02677481386831859,0.10263171350571,-0.047139172439157634,-0.006410455297479547
single_shape,bn2_w16_gap,prob_fidelity,4,100,-0.025247728109040267,0.12546459815422892,-0.05014262635720016,-0.0003528298608803729
single_shape,bn2_w16_gap,prob_fidelity,5,100,-0.00455336084471219,0.13171005702341032,-0.030687493628738634,0.02158077193931425
single_shape,bn2_w16_gap,prob_fidelity,6,100,0.014694017617486638,0.13186448209039237,-0.011470756450105368,0.040858791685078645
single_shape,bn2_w16_gap,prob_fidelity,7,100,0.03647334934242712,0.12099802585580587,0.012464715941268956,0.06048198274358528
single_shape,bn2_w16_gap,prob_fidelity,8,100,0.03455391146537024,0.13099934177281167,0.008560800006142684,0.0605470229245978
single_shape,bn2_w16_gap,prob_fidelity,9,100,0.03788298914531071,0.14820817436215616,0.008475271952004135,0.06729070633861728
single_shape,bn2_w16_gap,prob_fidelity,10,100,0.034550566336309256,0.12867547095999157,0.009018561263091154,0.06008257140952736
single_shape,bn2_w16_gap,prob_fidelity,11,100,0.05407128621512248,0.12818161504841324,0.028637272869043863,0.07950529956120109
single_shape,bn2_w16_gap,prob_fidelity,12,100,0.10150207530286026,0.12364490940683973,0.07696824278061844,0.1260359078251021
single_shape,bn2_w16_gap,prob_fidelity,13,100,0.1297559290131581,0.11895107359839203,0.10615345534882481,0.1533584026774914
single_shape,bn2_w16_gap,prob_fidelity,14,100,0.14423403818696218,0.12249889458426727,0.11992759986849211,0.16854047650543225
single_shape,bn2_w16_gap,prob_fidelity,15,100,0.08902152271914195,0.10830280159595763,0.06753189723604199,0.11051114820224191
single_shape,bn2_w16_gap,prob_fidelity,16,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gap,raw_logit_error_reduction,1,100,77.5053939819336,25.524238770644004,72.44083125742848,82.5699567064387
single_shape,bn2_w16_gap,raw_logit_error_reduction,2,100,32.55546466827393,29.321822591138606,26.73737892459925,38.37355041194861
single_shape,bn2_w16_gap,raw_logit_error_reduction,3,100,21.034976997375487,40.72841320981397,12.953576207162582,29.11637778758839
single_shape,bn2_w16_gap,raw_logit_error_reduction,4,100,52.09812643051148,62.49167845912568,39.69842165734298,64.49783120367997
single_shape,bn2_w16_gap,raw_logit_error_reduction,5,100,47.040333080291745,70.31213871183624,33.08887932685964,60.99178683372385
single_shape,bn2_w16_gap,raw_logit_error_reduction,6,100,50.375546875,81.48707741709755,34.20674284037603,66.54435090962397
single_shape,bn2_w16_gap,raw_logit_error_reduction,7,100,30.538953189849853,100.90217471402757,10.517772637899068,50.56013374180064
single_shape,bn2_w16_gap,raw_logit_error_reduction,8,100,-47.78440891265869,89.52080666850021,-65.54727912379154,-30.02153870152584
single_shape,bn2_w16_gap,raw_logit_error_reduction,9,100,-49.50666071891785,91.6369197467771,-67.68941367418977,-31.32390776364593
single_shape,bn2_w16_gap,raw_logit_error_reduction,10,100,0.8796155738830567,108.35576611515172,-20.620519218898657,22.379750366664773
single_shape,bn2_w16_gap,raw_logit_error_reduction,11,100,55.036799392700196,94.51567990107051,36.282837967658224,73.79076081774217
single_shape,bn2_w16_gap,raw_logit_error_reduction,12,100,107.57296495437622,96.48982670746561,88.4272899735173,126.71863993523513
single_shape,bn2_w16_gap,raw_logit_error_reduction,13,100,94.1051037311554,96.23599293538975,75.0097948776403,113.20041258467049
single_shape,bn2_w16_gap,raw_logit_error_reduction,14,100,86.59715581893921,70.38440393637057,72.63136307715399,100.56294856072444
single_shape,bn2_w16_gap,raw_logit_error_reduction,15,100,53.908936500549316,42.17301792360214,45.5408947941924,62.276978206906236
single_shape,bn2_w16_gap,raw_logit_error_reduction,16,100,19.569032402038573,11.786117005913301,17.23041108638716,21.907653717689985
single_shape,bn2_w16_gap,raw_logit_fidelity,1,100,0.6437281664696434,0.20361609396297384,0.6033263159439288,0.6841300169953579
single_shape,bn2_w16_gap,raw_logit_fidelity,2,100,0.30023781943948763,0.207302562276856,0.25910449362178395,0.3413711452571913
single_shape,bn2_w16_gap,raw_logit_fidelity,3,100,0.2523727668600235,0.2864646428376533,0.1955319668251615,0.30921356689488555
single_shape,bn2_w16_gap,raw_logit_fidelity,4,100,0.5426374050648961,0.4423597257275789,0.4548636384161181,0.6304111717136741
single_shape,bn2_w16_gap,raw_logit_fidelity,5,100,0.55145290682773,0.49845493760813947,0.45254863314732796,0.650357180508132
single_shape,bn2_w16_gap,raw_logit_fidelity,6,100,0.5939772176825442,0.5768712329808253,0.4795134497462331,0.7084409856188553
single_shape,bn2_w16_gap,raw_logit_fidelity,7,100,0.45423428604237237,0.7538493403647596,0.3046542220329729,0.6038143500517719
single_shape,bn2_w16_gap,raw_logit_fidelity,8,100,-0.13704088140453077,0.6534335088782334,-0.2666962659096092,-0.007385496899452337
single_shape,bn2_w16_gap,raw_logit_fidelity,9,100,-0.1622834950039663,0.6700448547917068,-0.2952349309240627,-0.029332059083869877
single_shape,bn2_w16_gap,raw_logit_fidelity,10,100,0.20107724586179646,0.7840006244013626,0.0455145129626445,0.35663997876094844
single_shape,bn2_w16_gap,raw_logit_fidelity,11,100,0.5869876700387325,0.7167624207303465,0.44476645549140564,0.7292088845860594
single_shape,bn2_w16_gap,raw_logit_fidelity,12,100,0.9342180286015923,0.7211988258418819,0.791116535031624,1.0773195221715606
single_shape,bn2_w16_gap,raw_logit_fidelity,13,100,0.7772088040342715,0.7007097040061733,0.6381727967512565,0.9162448113172865
single_shape,bn2_w16_gap,raw_logit_fidelity,14,100,0.6718344447184796,0.5182560374945465,0.5690012032326112,0.7746676862043481
single_shape,bn2_w16_gap,raw_logit_fidelity,15,100,0.3509715286238754,0.3042041612333458,0.29061082327764215,0.4113322339701086
single_shape,bn2_w16_gap,raw_logit_fidelity,16,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gmp,agreement,1,100,-0.025361328781873454,0.023894657902936014,-0.030102547308209854,-0.020620110255537054
single_shape,bn2_w16_gmp,agreement,2,100,-0.04150716290459968,0.033389075484802515,-0.048132279862074044,-0.034882045947125316
single_shape,bn2_w16_gmp,agreement,3,100,-0.0321191419052775,0.04476570812625117,-0.04100162959666524,-0.023236654213889762
single_shape,bn2_w16_gmp,agreement,4,100,-0.030455730318208224,0.05326507334710041,-0.041024676464489276,-0.019886784171927175
single_shape,bn2_w16_gmp,agreement,5,100,-0.022373047407309058,0.057637682491787884,-0.03380961407234517,-0.010936480742272941
single_shape,bn2_w16_gmp,agreement,6,100,-0.010081379980256315,0.060559894801408456,-0.022097776965380796,0.0019350170048681656
single_shape,bn2_w16_gmp,agreement,7,100,0.002965494887903333,0.06564093719918636,-0.010059091142961168,0.015990080918767833
single_shape,bn2_w16_gmp,agreement,8,100,0.018486329880543054,0.06742351218081818,0.005108042300075784,0.031864617461010325
single_shape,bn2_w16_gmp,agreement,9,100,0.05140625038184225,0.0756669524632106,0.03639228540660364,0.06642021535708086
single_shape,bn2_w16_gmp,agreement,10,100,0.07694987141527236,0.08674169926774083,0.059738436405626115,0.0941613064249186
single_shape,bn2_w16_gmp,agreement,11,100,0.08160807471722364,0.0885050395425569,0.06404675474110688,0.0991693946933404
single_shape,bn2_w16_gmp,agreement,12,100,0.08945963587611913,0.09519388068095695,0.07057110470267418,0.10834816704956408
single_shape,bn2_w16_gmp,agreement,13,100,0.11943033944815397,0.08938867334811623,0.10169368735443865,0.1371669915418693
single_shape,bn2_w16_gmp,agreement,14,100,0.11873372353613376,0.07894140604778692,0.10307003592992522,0.1343974111423423
single_shape,bn2_w16_gmp,agreement,15,100,0.06151692532002926,0.05017621908266227,0.05156087487299603,0.07147297576706249
single_shape,bn2_w16_gmp,agreement,16,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gmp,centered_logit_error_reduction,1,100,3.745245475769043,10.347637376082414,1.6920497267198509,5.7984412248182355
single_shape,bn2_w16_gmp,centered_logit_error_reduction,2,100,14.231831512451173,10.282425136893577,12.19157528644692,16.272087738455426
single_shape,bn2_w16_gmp,centered_logit_error_reduction,3,100,26.444106063842774,12.187406970578895,24.025860113152262,28.862352014533286
single_shape,bn2_w16_gmp,centered_logit_error_reduction,4,100,31.63483097076416,10.848080248784397,29.48233649858338,33.78732544294494
single_shape,bn2_w16_gmp,centered_logit_error_reduction,5,100,40.234765453338625,11.681104084146272,37.916980979637785,42.552549927039465
single_shape,bn2_w16_gmp,centered_logit_error_reduction,6,100,46.13293776512146,13.632484249245248,43.427957131162735,48.83791839908019
single_shape,bn2_w16_gmp,centered_logit_error_reduction,7,100,51.12445272445679,16.833853023353917,47.78425107151148,54.4646543774021
single_shape,bn2_w16_gmp,centered_logit_error_reduction,8,100,51.46524265289307,17.818102617424188,47.92974452703313,55.000740778753006
single_shape,bn2_w16_gmp,centered_logit_error_reduction,9,100,59.60134388923645,18.855137139700428,55.86007561552843,63.34261216294448
