architecture,method,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,centered_logit_fidelity,7.254016868012951,6.94838078093473e-07,20,0.1788811707097016,0.11028109387653079,0.12726803001973763,0.23049431139966559
TinyCNN,auroc,centered_logit_fidelity,6.867406776234523,1.4954916789450194e-06,20,0.14624389314410463,0.09523574094841589,0.10167219437417054,0.19081559191403874
TinyCNN,validation_patch,centered_logit_fidelity,12.758944342041003,9.134136342901722e-11,20,0.09916162449222676,0.034757128361053324,0.08289478769346743,0.11542846129098609
TwoLayerCNN,contrast,centered_logit_fidelity,-0.13614315352229067,0.8931402564730007,20,-0.0018342613612344154,0.06025324059428237,-0.030033645992844086,0.026365123270375258
TwoLayerCNN,auroc,centered_logit_fidelity,0.5765904154305199,0.570984677359339,20,0.006591521698087743,0.05112499340136924,-0.017335711741876387,0.030518755138051874
TwoLayerCNN,validation_patch,centered_logit_fidelity,0.6544607136314612,0.5206593369356173,20,0.005191930232611214,0.03547809270364393,-0.011412328264995582,0.021796188730218012
TinyCNN,contrast,prob_error_reduction,17.315835317808453,4.296679468194888e-13,20,0.8944113109901082,0.23099832661976466,0.7863007662731643,1.002521855707052
TinyCNN,auroc,prob_error_reduction,19.34049426858291,5.853574712236656e-14,20,0.8563806683465373,0.1980223837557454,0.7637033399552345,0.94905799673784
TinyCNN,validation_patch,prob_error_reduction,23.82627953805149,1.2929327938879948e-15,20,0.6878736739476153,0.1291122512369535,0.627447280323413,0.7483000675718177
TwoLayerCNN,contrast,prob_error_reduction,-2.1447594486832364,0.0451144991969761,20,-0.05743458531796932,0.11975947895633539,-0.11348374677487749,-0.0013854238610611566
TwoLayerCNN,auroc,prob_error_reduction,-1.5411811163302378,0.1397631492498553,20,-0.0389675471931696,0.11307442521465157,-0.09188800719127835,0.013952912804939155
TwoLayerCNN,validation_patch,prob_error_reduction,3.042217139464498,0.0067038470942731646,20,0.06197562154848128,0.09110572741996883,0.01933682860856957,0.104614414488393
TinyCNN,contrast,prob_fidelity,12.090487498969834,2.2819215874164903e-10,20,0.33097631491522983,0.12242443311833211,0.27367991651805845,0.3882727133124012
TinyCNN,auroc,prob_fidelity,12.202870459768645,1.950989137603773e-10,20,0.30014189762448,0.10999669105671127,0.248661861551418,0.351621933697542
TinyCNN,validation_patch,prob_fidelity,18.49627172349275,1.3122200296342487e-13,20,0.23049838864656694,0.055731238535304324,0.20441536612441952,0.25658141116871436
TwoLayerCNN,contrast,prob_fidelity,-3.1070051728128725,0.005803770331741365,20,-0.041886871843064874,0.06029078652683403,-0.07010382851201119,-0.013669915174118554
TwoLayerCNN,auroc,prob_fidelity,-2.510497262244416,0.02126429009029647,20,-0.03179449735380302,0.056637908722498444,-0.05830185458542872,-0.0052871401221773195
TwoLayerCNN,validation_patch,prob_fidelity,1.1518352206250433,0.2636768803221893,20,0.011617540334292301,0.045106469143609745,-0.009492937047652635,0.032728017716237234
TinyCNN,contrast,raw_logit_fidelity,7.276603601148219,6.64823249091251e-07,20,0.17956327121197457,0.11035799191503262,0.1279141411321663,0.23121240129178286
TinyCNN,auroc,raw_logit_fidelity,6.852118056338056,1.5421585966041172e-06,20,0.1454523544689102,0.09493162534730046,0.10102298618151517,0.18988172275630522
TinyCNN,validation_patch,raw_logit_fidelity,12.877135479380344,7.800031688286714e-11,20,0.09909730872676746,0.0344157781138757,0.08299022876132225,0.11520438869221267
TwoLayerCNN,contrast,raw_logit_fidelity,-0.18482813931883407,0.8553224391939638,20,-0.0024743086301385634,0.05986883073859334,-0.030493783911315964,0.025545166651038835
TwoLayerCNN,auroc,raw_logit_fidelity,0.5192558895419135,0.6095784677125464,20,0.0058974911358491006,0.050792649027417876,-0.017874200349213186,0.029669182620911387
TwoLayerCNN,validation_patch,raw_logit_fidelity,0.69156230641705,0.49757640946581305,20,0.005442424772974195,0.035194606883216115,-0.011029158276656613,0.021914007822605004
TinyCNN,contrast,centered_logit_error_reduction,13.10491779744044,5.7724741731147366e-11,20,60.17028633579612,20.533490183165476,50.56031711599268,69.78025555559955
TinyCNN,auroc,centered_logit_error_reduction,16.771248325238407,7.610070448551512e-13,20,57.90071537867188,15.43951088455872,50.674801856621244,65.12662890072252
TinyCNN,validation_patch,centered_logit_error_reduction,18.011548101341894,2.1177404965079037e-13,20,44.80010162703693,11.123538307014288,39.5941254489904,50.006077805083464
