architecture,method,metric,block,B
TinyCNN,contrast,centered_logit_fidelity,4000,0.31221882584665644
TinyCNN,contrast,centered_logit_fidelity,4001,0.2366981207342042
TinyCNN,contrast,centered_logit_fidelity,4002,0.12828250412757464
TinyCNN,contrast,centered_logit_fidelity,4003,0.33996598407765927
TinyCNN,contrast,centered_logit_fidelity,4004,0.07444624723371585
TinyCNN,contrast,centered_logit_fidelity,4005,0.18631309460023276
TinyCNN,contrast,centered_logit_fidelity,4006,0.08076174546098164
TinyCNN,contrast,centered_logit_fidelity,4007,0.10579529289633599
TinyCNN,contrast,centered_logit_fidelity,4008,0.08545035165670484
TinyCNN,contrast,centered_logit_fidelity,4009,0.2275563514799871
TinyCNN,contrast,centered_logit_fidelity,4010,0.006751942153661927
TinyCNN,contrast,centered_logit_fidelity,4011,0.22738705180381436
TinyCNN,contrast,centered_logit_fidelity,4012,0.31458549242059647
TinyCNN,contrast,centered_logit_fidelity,4013,0.10273581568529816
TinyCNN,contrast,centered_logit_fidelity,4014,0.04323468069751457
TinyCNN,contrast,centered_logit_fidelity,4015,0.26656881692942197
TinyCNN,contrast,centered_logit_fidelity,4016,0.1914742488388157
TinyCNN,contrast,centered_logit_fidelity,4017,0.19080775080893225
TinyCNN,contrast,centered_logit_fidelity,4018,0.3970375487514982
TinyCNN,contrast,centered_logit_fidelity,4019,0.0595515479904255
TinyCNN,auroc,centered_logit_fidelity,4000,0.15520785325702574
TinyCNN,auroc,centered_logit_fidelity,4001,0.22923783632355255
TinyCNN,auroc,centered_logit_fidelity,4002,0.2405420158098321
TinyCNN,auroc,centered_logit_fidelity,4003,0.2344905166041425
TinyCNN,auroc,centered_logit_fidelity,4004,0.24819354037551133
TinyCNN,auroc,centered_logit_fidelity,4005,0.04119421614207536
TinyCNN,auroc,centered_logit_fidelity,4006,0.14915613960419571
TinyCNN,auroc,centered_logit_fidelity,4007,0.19138250060692752
TinyCNN,auroc,centered_logit_fidelity,4008,0.14800859899688135
TinyCNN,auroc,centered_logit_fidelity,4009,0.10510676150644938
TinyCNN,auroc,centered_logit_fidelity,4010,-0.013270231439075408
TinyCNN,auroc,centered_logit_fidelity,4011,0.22738705180381436
TinyCNN,auroc,centered_logit_fidelity,4012,0.31438538540228056
TinyCNN,auroc,centered_logit_fidelity,4013,0.09576212691740316
TinyCNN,auroc,centered_logit_fidelity,4014,-0.04378038785368821
TinyCNN,auroc,centered_logit_fidelity,4015,0.014921556882949882
TinyCNN,auroc,centered_logit_fidelity,4016,0.08368118003543062
TinyCNN,auroc,centered_logit_fidelity,4017,0.20275342958174353
TinyCNN,auroc,centered_logit_fidelity,4018,0.15934817176260407
TinyCNN,auroc,centered_logit_fidelity,4019,0.14116960056203653
TinyCNN,validation_patch,centered_logit_fidelity,4000,0.0975765326479261
