architecture,metric,block,delta
TinyCNN,prob_input_effect_mpp,4000,0.8834844827651978
TinyCNN,prob_input_effect_mpp,4001,0.8403917551040649
TinyCNN,prob_input_effect_mpp,4002,0.8516055345535278
TinyCNN,prob_input_effect_mpp,4003,0.8058607578277588
TinyCNN,prob_input_effect_mpp,4004,0.8701773881912231
TinyCNN,prob_input_effect_mpp,4005,0.8328211307525635
TinyCNN,prob_input_effect_mpp,4006,0.9396551847457886
TinyCNN,prob_input_effect_mpp,4007,0.8764880895614624
TinyCNN,prob_input_effect_mpp,4008,0.9389761686325073
TinyCNN,prob_input_effect_mpp,4009,0.8154064416885376
TinyCNN,prob_input_effect_mpp,4010,0.7885297536849976
TinyCNN,prob_input_effect_mpp,4011,0.8151271343231201
TinyCNN,prob_input_effect_mpp,4012,0.845932126045227
TinyCNN,prob_input_effect_mpp,4013,0.8025703430175781
TinyCNN,prob_input_effect_mpp,4014,0.8625526428222656
TinyCNN,prob_input_effect_mpp,4015,0.8401808738708496
TinyCNN,prob_input_effect_mpp,4016,0.905879020690918
TinyCNN,prob_input_effect_mpp,4017,0.8289551734924316
TinyCNN,prob_input_effect_mpp,4018,0.7585709095001221
TinyCNN,prob_input_effect_mpp,4019,0.8679990768432617
TinyCNN,centered_logit_input_effect_mpp,4000,122.77754020690918
TinyCNN,centered_logit_input_effect_mpp,4001,147.6502342224121
TinyCNN,centered_logit_input_effect_mpp,4002,113.2732925415039
TinyCNN,centered_logit_input_effect_mpp,4003,136.42694473266602
TinyCNN,centered_logit_input_effect_mpp,4004,131.45141220092773
TinyCNN,centered_logit_input_effect_mpp,4005,117.11863708496094
TinyCNN,centered_logit_input_effect_mpp,4006,138.63534927368164
TinyCNN,centered_logit_input_effect_mpp,4007,132.70010566711426
TinyCNN,centered_logit_input_effect_mpp,4008,129.7356662750244
TinyCNN,centered_logit_input_effect_mpp,4009,130.35332870483398
TinyCNN,centered_logit_input_effect_mpp,4010,136.25507736206055
TinyCNN,centered_logit_input_effect_mpp,4011,118.3884506225586
TinyCNN,centered_logit_input_effect_mpp,4012,123.4155502319336
TinyCNN,centered_logit_input_effect_mpp,4013,117.73683547973633
TinyCNN,centered_logit_input_effect_mpp,4014,107.17799758911133
TinyCNN,centered_logit_input_effect_mpp,4015,123.65264511108398
TinyCNN,centered_logit_input_effect_mpp,4016,111.29743194580078
TinyCNN,centered_logit_input_effect_mpp,4017,136.4003791809082
TinyCNN,centered_logit_input_effect_mpp,4018,148.0076084136963
TinyCNN,centered_logit_input_effect_mpp,4019,108.28507614135742
TinyCNN,raw_logit_input_effect_mpp,4000,125.56344223022461
