architecture,method,k,metric,block,delta
TinyCNN,contrast,1,centered_logit_fidelity,4000,-0.4175395642871239
TinyCNN,contrast,1,centered_logit_fidelity,4001,-0.2445489556802357
TinyCNN,contrast,1,centered_logit_fidelity,4002,-0.1811208388154869
TinyCNN,contrast,1,centered_logit_fidelity,4003,-0.4189219958319762
TinyCNN,contrast,1,centered_logit_fidelity,4004,-0.08916554677244615
TinyCNN,contrast,1,centered_logit_fidelity,4005,-0.18034482669071894
TinyCNN,contrast,1,centered_logit_fidelity,4006,-0.0502699792343686
TinyCNN,contrast,1,centered_logit_fidelity,4007,-0.12813464849164646
TinyCNN,contrast,1,centered_logit_fidelity,4008,-0.14367086384631622
TinyCNN,contrast,1,centered_logit_fidelity,4009,-0.24276832449712804
TinyCNN,contrast,1,centered_logit_fidelity,4010,0.05034511633097516
TinyCNN,contrast,1,centered_logit_fidelity,4011,-0.19600990389861117
TinyCNN,contrast,1,centered_logit_fidelity,4012,-0.39372807073460026
TinyCNN,contrast,1,centered_logit_fidelity,4013,-0.0988217038857343
TinyCNN,contrast,1,centered_logit_fidelity,4014,-0.08529064552777388
TinyCNN,contrast,1,centered_logit_fidelity,4015,-0.3588850493513345
TinyCNN,contrast,1,centered_logit_fidelity,4016,-0.2526265351357715
TinyCNN,contrast,1,centered_logit_fidelity,4017,-0.2791132136798955
TinyCNN,contrast,1,centered_logit_fidelity,4018,-0.47267927194788006
TinyCNN,contrast,1,centered_logit_fidelity,4019,-0.04354683718430585
TinyCNN,contrast,2,centered_logit_fidelity,4000,-0.17351956836760019
TinyCNN,contrast,2,centered_logit_fidelity,4001,-0.2365547119968362
TinyCNN,contrast,2,centered_logit_fidelity,4002,-0.14499140481084583
TinyCNN,contrast,2,centered_logit_fidelity,4003,-0.3490093634450583
TinyCNN,contrast,2,centered_logit_fidelity,4004,-0.057345555427878336
TinyCNN,contrast,2,centered_logit_fidelity,4005,-0.2584618501016194
TinyCNN,contrast,2,centered_logit_fidelity,4006,-0.14712936914560792
TinyCNN,contrast,2,centered_logit_fidelity,4007,-0.07792369875122773
TinyCNN,contrast,2,centered_logit_fidelity,4008,-0.0648130855366651
TinyCNN,contrast,2,centered_logit_fidelity,4009,-0.20847408795082734
TinyCNN,contrast,2,centered_logit_fidelity,4010,-0.07485174898970803
TinyCNN,contrast,2,centered_logit_fidelity,4011,-0.2734695026996792
TinyCNN,contrast,2,centered_logit_fidelity,4012,-0.2636271294949276
TinyCNN,contrast,2,centered_logit_fidelity,4013,-0.11163017067776715
TinyCNN,contrast,2,centered_logit_fidelity,4014,-0.05951477808927641
TinyCNN,contrast,2,centered_logit_fidelity,4015,-0.2164610986748594
