task,architecture,profile,method,metric,block,B
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5000,0.09243183914752195
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5001,0.04165869539522926
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5002,0.07287302448997324
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5003,0.11754795370441634
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5004,0.09757881728711465
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5005,0.024952759898496324
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5006,0.05323823008525863
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5007,0.1501433972035709
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5008,-0.007358168724046543
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5009,0.11402975685983824
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5010,0.024131320424512603
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5011,0.04703803503544052
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5012,0.0898005663232811
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5013,0.08578659902870728
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5014,0.027568293931413912
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5015,0.02213424073759951
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5016,0.06410401779227837
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5017,0.0598196328700169
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5018,0.13163062361376604
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5019,0.019424497202148616
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5020,-0.023463583057314552
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5021,0.06192984057098189
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5022,0.03993849890486684
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5023,0.022836477691904833
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5024,0.010318774381955553
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5025,0.09017097025521481
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5026,0.06018847695712054
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5027,0.015089757259067027
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5028,0.05945294012325941
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5029,0.09388321000144823
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5030,0.09106398314040187
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5031,0.024211523593135498
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5032,-0.10586417841250695
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5033,0.029243612115262496
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5034,0.038662375462904186
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5035,0.1209252386270197
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5036,0.005668323542730391
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5037,0.06466799939085538
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5038,0.03891818360850441
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5039,0.09072985406442613
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5040,0.032035334207792365
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5041,0.05941066179586674
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5042,0.0692731637478739
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5043,0.06427916319866483
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5044,0.0248981371818906
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5045,0.032616435285265755
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5046,0.018252682489277527
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5047,0.10520317227624526
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5048,-0.009607958923389004
single_shape,TinyCNN,template_init,contrast,centered_logit_fidelity,5049,0.05718129746831163
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5000,0.07314269439470261
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5001,0.020155147032970222
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5002,0.06597904939341409
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5003,0.06509740396138586
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5004,0.05304689189750145
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5005,0.013698079625797277
single_shape,TinyCNN,retention_0p1,contrast,centered_logit_fidelity,5006,0.009167488892400044
