task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,release_default,contrast,1,prob_fidelity,50,0.024697464857341825,0.016527081246138095,0.02000052033666693,0.02939440937801672
single_shape,TinyCNN,release_default,contrast,1,centered_logit_fidelity,50,0.20987654790761706,0.036230669171941114,0.19957990565644532,0.2201731901587888
single_shape,TinyCNN,release_default,contrast,1,prob_error_reduction,50,0.048908724784851074,0.03268224393384535,0.03962053382830784,0.05819691574139431
single_shape,TinyCNN,release_default,contrast,2,prob_fidelity,50,0.13719473025159262,0.05000453210868556,0.12298359946576894,0.15140586103741632
single_shape,TinyCNN,release_default,contrast,2,centered_logit_fidelity,50,0.3508751141166814,0.04543659668950354,0.33796217621309677,0.363788052020266
single_shape,TinyCNN,release_default,contrast,2,prob_error_reduction,50,0.2717659330368042,0.09861476945271258,0.24373992565290692,0.29979194042070145
single_shape,TinyCNN,release_default,contrast,3,prob_fidelity,50,0.3177607608474267,0.06897010073662753,0.29815967509485347,0.33736184659999996
single_shape,TinyCNN,release_default,contrast,3,centered_logit_fidelity,50,0.4569791626859705,0.05018651768745972,0.4427163121709136,0.4712420132010274
single_shape,TinyCNN,release_default,contrast,3,prob_error_reduction,50,0.6296805596351623,0.13629370524103232,0.5909463171817991,0.6684148020885256
single_shape,TinyCNN,release_default,contrast,4,prob_fidelity,50,0.49376022236922645,0.06963753786510143,0.4739694530834998,0.5135509916549531
single_shape,TinyCNN,release_default,contrast,4,centered_logit_fidelity,50,0.5394785896963132,0.0402223754436579,0.528047517074657,0.5509096623179695
single_shape,TinyCNN,release_default,contrast,4,prob_error_reduction,50,0.978517096042633,0.1377210395387014,0.939377209670131,1.0176569824151351
single_shape,TinyCNN,release_default,contrast,5,prob_fidelity,50,0.6532188289788651,0.05353547839180178,0.6380042143624555,0.6684334435952747
single_shape,TinyCNN,release_default,contrast,5,centered_logit_fidelity,50,0.6149977607552216,0.03275986331280645,0.6056875106152521,0.6243080108951912
single_shape,TinyCNN,release_default,contrast,5,prob_error_reduction,50,1.2945392018556594,0.10569952556330459,1.2644997290631776,1.3245786746481412
single_shape,TinyCNN,release_default,contrast,6,prob_fidelity,50,0.776209217589734,0.03734551305538768,0.7655957402125182,0.7868226949669499
single_shape,TinyCNN,release_default,contrast,6,centered_logit_fidelity,50,0.6819277860721084,0.02507196895090082,0.6748024113351758,0.6890531608090409
single_shape,TinyCNN,release_default,contrast,6,prob_error_reduction,50,1.5383340167999267,0.07440867275737528,1.5171873059806698,1.5594807276191835
single_shape,TinyCNN,release_default,contrast,7,prob_fidelity,50,0.8468854597161797,0.03303152486405548,0.8374980042175861,0.8562729152147732
single_shape,TinyCNN,release_default,contrast,7,centered_logit_fidelity,50,0.7378166443934768,0.02266492676838379,0.7313753434758612,0.7442579453110925
single_shape,TinyCNN,release_default,contrast,7,prob_error_reduction,50,1.6784277588129044,0.06657684644429314,1.6595068284046142,1.6973486892211946
single_shape,TinyCNN,release_default,contrast,8,prob_fidelity,50,0.9115371662706984,0.03012629155500925,0.9029753689430172,0.9200989635983795
single_shape,TinyCNN,release_default,contrast,8,centered_logit_fidelity,50,0.784569051896748,0.023335270352402602,0.7779372414404524,0.7912008623530435
single_shape,TinyCNN,release_default,contrast,8,prob_error_reduction,50,1.8065438366681337,0.06062521582677185,1.7893143409664152,1.8237733323698522
single_shape,TinyCNN,release_default,contrast,9,prob_fidelity,50,0.9491134894474675,0.019418276711603535,0.9435948762668839,0.9546321026280512
single_shape,TinyCNN,release_default,contrast,9,centered_logit_fidelity,50,0.8292518228152133,0.019859461595286676,0.8236078262779946,0.834895819352432
single_shape,TinyCNN,release_default,contrast,9,prob_error_reduction,50,1.880996961966157,0.039167953533030514,1.869865552735867,1.8921283711964472
single_shape,TinyCNN,release_default,contrast,10,prob_fidelity,50,0.9739725571057944,0.01635610126070383,0.9693242045593327,0.9786209096522562
single_shape,TinyCNN,release_default,contrast,10,centered_logit_fidelity,50,0.8645539012713127,0.017935724469860508,0.8594566247759405,0.8696511777666849
single_shape,TinyCNN,release_default,contrast,10,prob_error_reduction,50,1.9302873590774834,0.034627829743323416,1.9204462387517893,1.9401284794031775
single_shape,TinyCNN,release_default,contrast,11,prob_fidelity,50,0.9892769071895968,0.008583045115398943,0.9868376327572225,0.9917161816219712
single_shape,TinyCNN,release_default,contrast,11,centered_logit_fidelity,50,0.8951011110912315,0.01713842658541278,0.8902304241475127,0.8999717980349502
single_shape,TinyCNN,release_default,contrast,11,prob_error_reduction,50,1.9606095213023946,0.020150306684687282,1.954882867505332,1.9663361750994572
single_shape,TinyCNN,release_default,contrast,12,prob_fidelity,50,0.995841105422818,0.0039039884436852263,0.994731604183231,0.996950606662405
single_shape,TinyCNN,release_default,contrast,12,centered_logit_fidelity,50,0.9193137779648723,0.014139709087851412,0.9152953171044805,0.9233322388252642
single_shape,TinyCNN,release_default,contrast,12,prob_error_reduction,50,1.9736127906525507,0.012378777183660638,1.9700947811020721,1.9771308002030292
single_shape,TinyCNN,release_default,contrast,13,prob_fidelity,50,0.9980533243336395,0.0021660394811604403,0.997437742724214,0.9986689059430649
single_shape,TinyCNN,release_default,contrast,13,centered_logit_fidelity,50,0.9438231064986538,0.01158634277832377,0.9405303043143585,0.947115908682949
single_shape,TinyCNN,release_default,contrast,13,prob_error_reduction,50,1.9779929482593435,0.009791487575246883,1.9752102382798329,1.980775658238854
single_shape,TinyCNN,release_default,contrast,14,prob_fidelity,50,0.9994656181532068,0.0006738125487710319,0.9992741227456525,0.999657113560761
single_shape,TinyCNN,release_default,contrast,14,centered_logit_fidelity,50,0.9670456961376379,0.008675712733257075,0.964580085859662,0.9695113064156138
single_shape,TinyCNN,release_default,contrast,14,prob_error_reduction,50,1.9807878623691066,0.007952371720622528,1.9785278233323726,1.9830479014058406
single_shape,TinyCNN,release_default,contrast,15,prob_fidelity,50,0.9999112350721062,0.00012323261972824426,0.999876212749085,0.9999462573951274
single_shape,TinyCNN,release_default,contrast,15,centered_logit_fidelity,50,0.988149041124387,0.0048936249256009865,0.9867582883085556,0.9895397939402183
single_shape,TinyCNN,release_default,contrast,15,prob_error_reduction,50,1.981669237384549,0.007378559003886197,1.9795722741175548,1.9837662006515433
single_shape,TinyCNN,release_default,contrast,16,prob_fidelity,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_default,contrast,16,centered_logit_fidelity,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_default,contrast,16,prob_error_reduction,50,1.9818446445465088,0.0072341923270153935,1.9797887098351197,1.9839005792578979
single_shape,TinyCNN,release_default,auroc,1,prob_fidelity,50,0.031055601518165343,0.01996860592977402,0.025380586504290183,0.0367306165320405
